orig_index,update_flag,title,authors,journal,year,abstract,doi,hollow_flag
796,R,Neuroscientific foundations of psychopathology.,"Patrick, Christopher J; Bernat, Edward M",Contemporary directions in psychopathology: Scientific foundations of the DSM-V and ICD-11.,2010,"here we propose that neuroscientific conceptualization and understanding of mental disorders can be advanced by focusing programmatic efforts on neurobehavioral trait constructs-that is, individual difference constructs with direct referents in neurobiology as well as behavior (depue & ilacono, 1989). this chapter focuses on two neurobehavioral constructs in particular: defensive reactivity and inhibitory control. we focus on these constructs because of their demonstrable relevance to differing forms of psychopathology in dsm (axis ii personality syndromes as well as axis i clinical disorders), and because empirical demonstrations are available of how these constructs can be indexed physiologically as well as behaviorally/psychometrically. the next section highlights the phenomenon of comorbidity and describes integrative hierarchical models that have been developed to account for this phenomenon in terms of broad factors that disorders share, while at the same time positing distinct lower-order factors that account for unique features of individual disorders. considering the emphasis assigned to abnormal emotional response and deficient impulse control in the definitions of many different mental disorders, our view is that constructs of defensive reactivity and inhibitory control are particularly relevant to an understanding of processing deviations that differing disorders have in common. the third major section discusses psychological conceptualizations of defensive reactivity and inhibitory control, highlighting specialized psychometric measures of dispositional fear/fearlessness and disinhibitory (externalizing) tendencies. the fourth section reviews neurobiological conceptualizations of defensive reactivity and inhibitory control (i.e., brain systems relevant to these individual difference constructs) and summarizes evidence regarding neurophysiological correlates of these constructs. the fifth section describes empirical data linking the constructs of defensive reactivity and inhibitory control, operationalized as dispositional fear and externalizing proneness, to differing forms of psychopathology (axis ii as well as axis i) within dsm. the sixth section provides an illustration of the psychoneurometric approach, drawing on multiple known electrocortical indicators of externalizing tendencies. the chapter ends with a brief discussion of implications for future research.",,FALSE
802,K,Analysis of behavior of drug addicts in Iowa gambling task using reinforcement learning model.,"Dezfoli, Amir; Karamati, Mohammad Mehdi; Safaie, Houman; Looks, Karo; Mokri, Azarakhsh; Ekhtiari, Hamed",Advances in Cognitive Science,2010,"the aim of this study was to assess decision making disorders in opioid dependents in riskful situations, using cognitive modeling. first, the decision making process of participants (treatment-seeking dependents and the normal group) was evaluated using the farsi version of iowa gambling task; and then the data were analyzed using cognitive modeling. different models of decision making in riskful situations in the gambling task were designed based on reinforcement learning and gambling task circumstances. in the next step, the models were simulated in gambling task environment and were separately fitted on the data of both groups. thereafter, the model with higher correspondence with the subject behavior in each group was determined.  both the group of treatment-seeking dependents (n = 127) and the control group (n = 130) showed a weak performance in the task (pure scores lower than 10). in addition, the performance of the dependent group was weaker than that of the normal group (p < 0.07). modeling results indicated that the optimum model in both groups was the model that was focused only on the frequency of reward and punishment (not on their size), in the assessment of different choices. sensitivity revealing method revealed that the optimum model for the dependent group, in addition to merely focusing on the frequency of reward and punishment, is affected by harm-avoidance more than the control group. conclusion: the above-mentioned results indicate that the reason for the low scores obtained in both groups, is ignoring the size of reward and punishment and focusing on their frequency. moreover, the reason for the lower output in the dependent group in comparison with the control group is a lack of balance between harm avoidance and reward dependence and a bias toward harm avoidance. the mentioned bias toward harm avoidance could be associated with the specific circumstances of treatment seeking drug dependents.",,FALSE
803,K,Analysis of decision-making processes in drug-abusers before and after maintenance treatment with methadone.,"Khodadadi, Arash; Keramati, Mohammad Mahdi; Dezfouli, Amir; Safaie, Houman; Ekhtiari, Hamed",Advances in Cognitive Science,2010,"the aim of this study is to assess risk taking in opioid dependents and to analyze the effect of methadone maintenance treatment (mmt) on the improvement of cognitive structure of possible disorders, using computational modeling  method: in this research the decision making processes of five groups of participants (male controls, female controls, opioid dependents before treatment, dependents after three months of mmt and dependents after six months of mmt) were analyzed using persian computer based version of balloon analogue risk task.  results obtained from the test scores showed that the function of male and female controls do not differ significantly, however riskful decision making in dependents before treatment, is higher than that of male controls. also, the degree of risk taking of dependents after six months of treatment, was lower in comparison with other groups of dependents. therefore, mmt could affect the amelioration of the imbalance in risk taking behavior. in this study, we used cognitive modeling in order to describe different decision making processes to explore the causes of differential functioning among groups. conclusion: analysis of estimated parameters demonstrate that imbalance in reward dependence generates risk taking behaviors in the drug abuser group. in addition, this group pays less attention to their evaluation of choices; hence, a more haphazard behavior. on the other hand, the control group chooses the alternatives that considers more valuable based on the evaluation of gains and losses.",,FALSE
804,K,Effects of methadone maintenance treatment on decision-making processes in heroin-abusers: A cognitive modeling analysis.,"Khodadadi, Arash; Dezfouli, Amir; Fakhari, Pegah; Ekhtiari, Hamed",Basic and Clinical Neuroscience,2010,"background &  although decision-making processes have become a principal target of study among addiction researchers, few researches are published according to effects of different treatment methods on the cognitive processes underlying decision making up to now. utilizing cognitive modeling method, in this paper we examine the effects of methadone maintenance treatment (mmt) on cognitive processes underlying decision-making disorders in heroin-abusers. materials &  for this purpose, for the first time, we use the balloon analog risk task (bart) to assess the decision-making ability of heroin-abusers before and after treatment and compare it to the non heroin-dependent subjects.  results demonstrate that heroin-abusers show more risky behavior than other groups. but, there is no difference between the performance of heroin-abusers after 6 months of mmt and control group. modeling subjects' behavior in bart reveals that poor performance in heroin-abusers is due to reward-dependency and insensitivity to evaluation. conclusion: results show that 6 months of mmt decreases reward-dependency and increases sensitivity to evaluation.",,FALSE
825,R,Physiological measures in identifying decision strategies.,"Hochman, Guy; Glockner, Andreas; Yechiam, Eldad",Foundations for tracing intuition: Challenges and methods.,2010,"in this chapter, we aim to show how autonomic measures of arousal, such as skin conductance response (scr), peripheral arterial tone (pat), and pupil diameter (pd), can be used to capture intuitive processes. first, decision tasks often used in this line of research are outlined. second, the application of these autonomic measures to identify unique intuitive processes is discussed,2 followed by a review of relevant empirical evidence. finally, implications and future applications of the proposed methods are discussed.",,FALSE
833,R,The Oxford companion to emotion and the affective sciences.,"Sander, David [Ed]; Scherer, Klaus R [Ed]",The Oxford companion to emotion and the affective sciences.,2009,"few areas have witnessed the type of growth we have seen in the affective sciences in the past decades. across psychology, philosophy, economics, and neuroscience, there has been an explosion of interest in the topic of emotion and affect. the oxford companion to emotion and the affective sciences is a resource for all who wish to find out about theories, concepts, methods, and research findings in this rapidly growing interdisciplinary field-one that brings together, amongst others, psychologists, neuroscientists, social scientists, philosophers, and historians. organized by alphabetical entries, and presenting brief definitions, concise overviews, and encyclopaedic articles (all with extensive references to relevant publications), this companion lends itself to casual browsing by non-specialists interested in the fascinating phenomena of emotions, moods, affect disorders, and personality. not only does the book provide entries on affective phenomena, but also on their neural underpinnings, their cognitive antecedents, and the associated responses in physiological systems, facial, vocal, and bodily expressions, and action tendencies. numerous entries also consider the role of emotion in society and social behavior, as well as in cognitive processes such as those critical for perception, attention, memory, judgement, and decision-making. the volume has been edited by a group of internationally leading authorities, who have commissioned and reviewed contributions from major experts on specific topics. in addition to comprehensive coverage of technical terms and fundamental issues, the volume highlights current debates that inform the ongoing research process. the companion also contains a wealth of material on the role of emotion in applied domains such as economic behaviour, music and arts, work and organizational behaviour, family interactions and group dynamics, religion, law and justice, and societal change. this book is a resource for scientists, students, and professionals eager to obtain a rapid, conclusive overview of central terms and topics, and anyone wanting to learn more about the mechanisms underlying the emotions dominating many aspects of our lives.",,FALSE
838,R,Neuropsychological perspective on impulsivity in Axis I disorders.,"Poletti, M",L'approccio neuropsicologico all'impulsivita nei disturbi psicopatologici in Asse I.,2009,"high levels of impulsivity are clinical features of several psychopathological disorders, like attention deficit/hyperactivity disorder, obsessive compulsive disorder, bipolar disorder, substance abuse, impulse control disorders, borderline personality disorder and antisocial personality disorders. different approaches have attempted to assess impulsivity. this article reviews recent empirical evidence from the neuropsychological approach to the assessment of impulsivity in mental disorders of dsm-iv tr axis i. the author first analyzed the evidence from the literature (pubmed, psycinfo) regarding the neuropsychological assessment of impulsivity in attention deficit/hyperactivity disorder, pathological gambling, obsessive compulsive disorder and bipolar disorder. two different components of impulsivity may be detected; one depends on response inhibition, an executive function based on the inferior portion of the prefrontal cortex and tested through tasks of the co-nogo type; the other depends on the integration of reward/punishment contingencies in individual choices, an executive function based on the orbital portion of the prefrontal cortex and tested through decision making tasks. impulsivity has thus been associated with difficulty to inhibit behavioral responses and to alter choice behavior in response to fluctuations of reward contingencies. either components of impulsivity may be affected in attention deficit/hyperactivity disorder, pathological gambling, considered as prototypical of impulse control disorders, and also in obsessive compulsive disorder and bipolar disorder. the neuropsychological approach offers useful tools to evaluate neurocognitive processes related to the increased impulsivity that characterizes several dsm-iv-tr axis i disorders.",,FALSE
839,R,A dimensional approach to borderline personality disorder.,"Dell'Osso, B; Camuri, G; Berlin, H; Serati, M; Altamura, A. C",Un approccio dimensionale al disturbo di personalita borderline.,2009,"borderline personality disorder (bpd) is one of the most prevalent personality disorders affecting approximately 1-2% of the general population in the u.s., with an incidence up to 20% in psychiatric settings. complex interactions between genetic, neurobiological and environmental factors are involved in the pathogenesis of bpd, resulting in core dimensional symptoms such as emotional dysregulation, impulse dyscontrol, aggression, cognitive dysfunctions and dissociative states. comorbidity with other mental disorders is frequent in bpd, particularly for mood and anxiety disorders, psychotic spectrum disorders, other personality disorders and substance abuse/dependence. suicidal ideation is frequently experienced by bpd subjects as well, and almost 10% of affected patients who have committed suicide by adulthood. as a consequence, bpd patients are high utilizers of health care resources and the correct clinical management of this disorder represents a challenge for psychiatrists. the aim of the present review is to provide a dimensional approach to bpd with specific emphasis to neuropsychological and biological findings in bpd and their relation to clinical aspects such as comorbidity patterns and treatment issues.  review of existing literature, through search of relevant papers in the major medical and psychological data bases.  neurobiological studies have shown that symptoms and behaviors of bpd are partly associated with alterations in basic neurocognitive processes, involving glutamatergic, dopaminergic and serotoninergic systems. in addition, neuroimaging studies in bpd patients indicated differences in the volume and activity of specific brain regions related to emotion and impulse control, such as the prefrontal cortex, cingulate cortex, amygdala and hippocampus (table i). as for other mental disorders, genetic vulnerability and environmental factors play a critical role for the development of these neuropsychobiological alterations and, ultimately, to the development of bpd. nevertheless, a multiple concomitant involvement of different neurobiological circuits in bpd is supposed to produce specific cognitive dysfunctions and results in heterogeneous symptom dimensions that may be targeted with specific treatment interventions including different forms of psychotherapy and the combination of pharmacological agents. conclusion: in the light of the complex neuropsychobiological aspects underlying the pathophysiology of bpd, a dimensional approach including the use of different spectrum models and a comprehensive investigation of the main comorbidity patterns and symptom dimensions, seems not only of academic interest but, particularly, of great clinical importance in order to orient clinicians to the most appropriate treatment choice (table iii).",,FALSE
852,R,Judgment and decision making: Psychological perspectives.,"Hardman, David",Judgment and decision making: Psychological perspectives.,2009,"judgment and decision making is an accessible text that explores the wide variety of ways people make judgments. it examines assessments of probability, frequency and causation; as well as how decisions are rendered under conditions of risk and uncertainty. topics covered include dynamic, everyday and group decision making; individual differences; and the nature of mind and brain in relation to judgment and decision making. offering up-to-date theoretical coverage, including perspectives from evolutionary psychology and neuroscience, this volume has everything a psychology student needs for bps accreditation, whilst drawing out the practical applications for non-psychology students with plentiful examples from business, economics, sport, law and medicine. the latest addition to the bps textbooks in psychology series, this thorough text provides a succinct, reader-friendly account of the field of judgment and decision making.",,FALSE
855,R,The development of executive function in childhood.,"Zelazo, Philip David; Carlson, Stephanie M; Kesek, Amanda","Handbook of developmental cognitive neuroscience., 2nd ed.",2008,"although informed by cybernetic theory and hierarchical models of action control, the construct of executive function (ef) has its origins in analyses of the consequences of damage to prefrontal cortex (pfc). early studies on patients with prefrontal damage, such as the famous case of phineas gage, revealed a peculiar pattern of deficits despite preservation of basic cognitive functions. these deficits include (but are not limited to) failures to make wise judgments, cognitive inflexibility, poor planning of future actions, and difficulty inhibiting inappropriate responses. the construct of ef is intended to capture the diverse set of psychological abilities whose impairment is presumed to underlie these manifest deficits. together, these various abilities allow for conscious, goal-directed problem solving. this chapter discusses development of the prefrontal cortex in childhood; theories of executive function development; age-related changes in executive function; correlates of executive function; influences on executive function; and measurement issues.",,FALSE
857,R,The multidimensional development of executive functioning: A neuropsychological approach.,"Visu-Petra, Laura",The multidimensional development of executive functioning: A neuropsychological approach.,2008,"this book approaches the riddle of executive functioning (ef), integrating multiple perspectives. a unifying theme is represented by the developmental framework in which distinct cognitive processes are investigated, integrating both typical and atypical trajectories. the book examines the philosophical connotations of ef, constructs an approach to the structure of ef for both typically developing children (aged 3-12 yrs) and children with neurodevelopmental disorders that can lead to executive dysfunctions. the book also examines ef in children with genetic disorders, such as down's syndrome. it contains a piecemeal approach to the three ef dimensions revealed by adult and developmental research: updating (working memory), set-shifting, and inhibition. the evolutionary distinctiveness of ef, as well as its dynamic and embodied nature could represent the key to a more ecological approach to this phenomenon, one that could glue together the pieces of the mysterious puzzle represented by the development of executive control.",,FALSE
858,R,"Moral psychology, Vol 3: The neuroscience of morality: Emotion, brain disorders, and development.","Sinnott-Armstrong, Walter [Ed]","Moral psychology, Vol 3: The neuroscience of morality: Emotion, brain disorders, and development.",2008,"for much of the twentieth century, philosophy and science went their separate ways. in moral philosophy, fear of the so-called naturalistic fallacy kept moral philosophers from incorporating developments in biology and psychology. since the 1990s, however, many philosophers have drawn on recent advances in cognitive psychology, brain science, and evolutionary psychology to inform their work. this collaborative trend is especially strong in moral philosophy, and these three volumes bring together some of the most innovative work by both philosophers and psychologists in this emerging interdisciplinary field. the neuroscience of morality is in its infancy, with the first brain imaging studies of moral development undertaken only in 2001. the contributors to volume 3 sample the best work in this very new field, discussing a variety of approaches, including functional imaging, lesion studies, abnormal psychology, and developmental neuroscience. each chapter includes an essay, comments on the essay by other scholars, and a reply by the author(s) of the original essay. topics include the neural basis of moral emotions and moral judgments as well as comparisons of normal adult moral judgments with those made by children, adolescents, and people with psychopathy, brain damage, and autism.",,FALSE
865,R,Impulsivity and dependencies: A cognitive and motivational approach based on Whiteside and Lynam's UPPS model.,"Billieux, Joel; Van der Linden, Martial",Impulsivite et dependances: Une approche cognitive et motivationnelle a la lumiere du modele UPPS de Whiteside et Lynam.,2008,"impulsivity has traditionally been a central concept in many theoretical models of addictive behaviors. recently, several authors have conceptualized impulsivity as a multidimensional construct involving different psychological and brain mechanisms. in this perspective, the aim of the present paper is to show how a multi-component approach of impulsivity and its underlying motivational and executive mechanisms may contribute to the understanding of both chemical and behavioral addictions.",,FALSE
880,R,Cognitive development: The learning brain.,"Goswami, Usha",Cognitive development: The learning brain.,2008,"this book is a thoroughly revised and updated edition of the bestselling cognition in children. this full color textbook shows how new discoveries in cognitive neuroscience force us to reconsider the established basis of developmental cognitive psychology. goswami presents a new paradigm for teaching the topic which goes beyond piaget and the traditional theories to a new theoretical framework based on learning and the brain. conceptualizing cognitive development around three core domains of human knowledge--naive physics, naive biology, and naive psychology--the book considers the learning mechanisms available to the infant brain, and each chapter explores how these mechanisms affect different aspects of cognitive development. this valuable textbook is essential reading for teachers and students of developmental and cognitive psychology, as well as education, language, and the learning sciences. it will also be of interest to anyone training to work with infants and children.",,FALSE
883,R,Composition and uses of formal clinical cognitive science.,"Neufeld, Richard W. J",Modeling complex systems.,2007,"to begin, a clear delineation of what does and what does not constitute formal theory is presented. benefits and selected (practical) liabilities are described. following on that is an exemplary case in point from the domain of clinical cognitive science. novel developments include proposals for monitoring cognitive aspects of an individual's response to treatment over time and, likewise, dynamic assessment of treatment-program efficacy with respect to cognitive functioning. some surprising noteworthy spin-offs from excursions into formal modeling, spin-offs that impinge directly on prominent issues in this area of study, are expounded on. one such by-product emanates from a personal ""labor of love,"" entailing the appropriation of stochastic modeling to the study of cognitive efficiency as it relates to schizophrenia, to psychological stress, and to their combination. it constitutes a new form of construct validity, using mathematical heuristics. another bears on an issue that i have engaged more or less since its appearance in the literature, namely, the so-called psychometric-artifact problem in the study of differential cognitive deficit. the problem is translated into simple but comprehensive measure-theoretic terms, revealing the shortcomings of typical efforts at redress. from there formal theory is shown to recast the entire issue in its own terms and in so doing render it as more or less obsolete.",,FALSE
894,R,Integrating clinical and cognitive science.,"Treat, Teresa A; Dirks, Melanie A",Psychological clinical science: Papers in honor of Richard M. McFall.,2007,"clinical scientists, and psychological scientists more generally, owe richard mcfall a profound debt of gratitude for his invaluable contributions to the advancement of integrative psychological science. from his prescient vision and articulation of the potential of integrative approaches, to his development of a premier interdisciplinary training program, to his pioneering research program at the conjunction of clinical, cognitive, and neural science, mcfall always seems to be well out in front of the rest of us. this chapter provides an overview of the contributions of richard mcfall's work to the advancement of quantitative clinical-cognitive science.",,FALSE
923,R,The psychopath: Emotion and the brain.,"Blair, James; Mitchell, Derek; Blair, Karina",The psychopath: Emotion and the brain.,2005,"psychopathy is a disorder embedded in mystique, controversy and fantasy. consistently portrayed in the media and popular culture as unusual, inhumane and emotionless creatures, individuals with psychopathy are the bogeyman of today's society, and the label psychopathy is used widely to describe a broad range of notorieties from political figures to serial killers. this timely new book separates fact from fiction. it presents the scientific facts of psychopathy and antisocial behavior, addressing critical issues such as the definition of psychopathy, the number of psychopathic individuals in society, whether they can be treated, and whether psychopathy is down to nature or nurture. more controversially, the authors present their ground-breaking research into whether an underlying abnormality in brain development, reducing emotional learning, is at the heart of the disorder. the resulting theory could lead to early diagnosis and revolutionize the way society, the media, and the state both view and contend with psychopaths in our midst.",,FALSE
1622,K,Cannabis and cognitive dysfunction: Parallels with endophenotypes of schizophrenia?,"Solowij, Nadia; Michie, Patricia",J Psychiatry Neurosci,2007,"currently, there is a lot of interest in cannabis use as a risk factor for the development of schizophrenia. cognitive dysfunction associated with long-term or heavy cannabis use is similar in many respects to the cognitive endophenotypes that have been proposed as vulnerability markers of schizophrenia. in this overview, we examine the similarities between these in the context of the neurobiology underlying cognitive dysfunction, particularly implicating the endogenous cannabinoid system, which plays a significant role in attention, learning and memory, and in general, inhibitory regulatory mechanisms in the brain. closer examination of the cognitive deficits associated with specific parameters of cannabis use and interactions with neurodevelopmental stages and neural substrates will better inform our understanding of the nature of the association between cannabis use and psychosis. the theoretical and clinical significance of further research in this field is in enhancing our understanding of underlying pathophysiology and improving the provision of treatments for substance use and mental illness.,",,FALSE
1728,R,Appendix A. CBA/CEA Literature:  1991 to 1996.,,Med Care,1998,,,TRUE
1738,R,On the influence of physical training on glucose homeostasis.,"Dela, Flemming",Acta Physiol Scand,1996,,,TRUE
1793,R,Appendix A. CBA/CEA Literature:  1991 to 1996.,,Med Care,1998,,,TRUE
1797,R,A high-fat and fructose diet in dogs mirrors insulin resistance and β-cell dysfunction characteristic of impaired glucose tolerance in humans.,"Gregory, Justin M.; Kraft, Guillaume; Dalla Man, Chiara; Slaughter, James C.; Scott, Melanie F.; Hastings, Jon R.; Edgerton, Dale S.; Moore, Mary C.; Cherrington, Alan D.",PLoS ONE,2023,"this study examined the impact of a hypercaloric high-fat high-fructose diet (hffd) in dogs as a potential model for human impaired glucose tolerance (igt) and type 2 diabetes mellitus (t2dm). the hffd not only led to weight gain but also triggered metabolic alterations akin to the precursors of human t2dm, notably insulin resistance and β-cell dysfunction. following the hffd intervention, the dogs exhibited a 50% decrease in insulin sensitivity within the first four weeks, paralleling observations in the progression from normal to igt in humans. calculations of the insulinogenic index using both insulin and c-peptide measurements during oral glucose tolerance tests revealed a significant and sustained decrease in early-phase insulin release, with partial compensation in the later phase, predominantly stemming from reduced hepatic insulin clearance. in addition, the disposition index, representing the β-cell's capacity to compensate for diminished insulin sensitivity, fell dramatically. these results confirm that a hffd can instigate metabolic changes in dogs akin to the early stages of progression to t2dm in humans. the study underscores the potential of using dogs subjected to a hffd as a model organism for studying human igt and t2dm.",,FALSE
1800,U,Reduced loss aversion in value-based decision-making and edge-centric functional connectivity in patients with internet gaming disorder.,RUJING ZHA; WEI HONG; XIAOCHU ZHANG,Journal of Behavioral Addictions,2023,"impaired value-based decision-making is a feature of behavioral addictions and drug addictions. both reward and loss aversion are key elements in value-based decisionmaking. studies have consistently investigated reward in behavioral addictions and drug addictions, however, few studies explored loss aversion especially in behavioral addictions. in this study, we investigated loss aversion in the internet gaming disorder patients. method: in this study, internet gaming disorder patients (pigd) and healthy controls (con-pigd) performed the iowa gambling task (igt), under functional magnetic resonance imaging (fmri). we investigated group differences in loss aversion, brain functional networks of node-centric functional connectivity (nfc) and the overlapping community features of edge-centric functional connectivity (efc) in igt.  pigd performed worse with lower average net score in igt. the computational model results showed that pigd significantly reduced loss aversion. there was no group difference in nfc. however, there were significant group differences in the overlapping community features of efc. furthermore, in con-pigd, loss aversion was positively correlated with the edge community profile similarity of the edge between left ifg and right hippocampus at right caudate. this relationship was suppressed by response consistency in pigd. in addition, reduced loss aversion was negatively correlated with the promoted bottom-to-up neuromodulation from the right hippocampus to the left ifg in pigd.  the present study consistently demonstrated that internet gaming disorder showed loss aversion deficit, a key element in the value-based decision-making. these findings may have important implications for the definition, diagnosis, and prevention of internet gaming disorder in the future, and we calls for future research to investigate loss aversion in other behavioral addictions.",10.1556/2006.2023.00014,FALSE
1811,U,Reduced loss aversion in value-based decision-making and edge-centric functional connectivity in patients with internet gaming disorder.,"WEI HONG; PEIPENG LIANG; YU PAN; JIA JIN; LIJUAN LUO; YING LI; CHEN JIN; LÜ, WANWAN; MIN WANG; YAN LIU; HUI CHEN; HUIXING GOU; WEI WEI; ZHANYU MA; RAN TAO; RUJING ZHA; XIAOCHU ZHANG",Journal of Behavioral Addictions,2023,"impaired value-based decision-making is a feature of substance and behavioral addictions. loss aversion is a core of value-based decision-making and its alteration plays an important role in addiction. however, few studies explored it in internet gaming disorder patients (igd).  in this study, igd patients (pigd) and healthy controls (con-pigd) performed the iowa gambling task (igt), under functional magnetic resonance imaging (fmri). we investigated group differences in loss aversion, brain functional networks of node-centric functional connectivity (nfc) and the overlapping community features of edge-centric functional connectivity (efc) in igt.  pigd performed worse with lower average net score in igt. the computational model results showed that pigd significantly reduced loss aversion. there was no group difference in nfc. however, there were significant group differences in the overlapping community features of efc. furthermore, in con-pigd, loss aversion was positively correlated with the edge community profile similarity of the edge between left ifg and right hippocampus at right caudate. this relationship was suppressed by response consistency in pigd. in addition, reduced loss aversion was negatively correlated with the promoted bottom-to-up neuromodulation from the right hippocampus to the left ifg in pigd. discussion and  the reduced loss aversion in value-based decision making and their related edge-centric functional connectivity support that the igd showed the same value-based decision-making deficit as the substance use and other behavioral addictive disorders. these findings may have important significance for understanding the definition and mechanism of igd in the future.",10.1556/2006.2023.00014,FALSE
1812,R,Q1 2023 International Game Technology PLC Earnings Call - Final,,Fair Disclosure Wire (Quarterly Earnings Reports),,,,TRUE
1817,R,NeoGames SA Corporate Analyst Meeting - Final,,Fair Disclosure Wire (Quarterly Earnings Reports),,,,TRUE
1818,R,Crane Holdings Co Investor Conference - Final,,Fair Disclosure Wire (Quarterly Earnings Reports),,,,TRUE
1841,G,Symposia Abstracts.,,Psychophysiology,2022,"in our first event-related potential study, erps and behavioral data converged in showing that both f0 and timbre support emotion processing but do so differently for different emotions: whereas f0 was most relevant for responses to happy, fearful, and sad voices, timbre was most relevant for responses to voices expressing pleasure. from fmri data, we further found that flexible control over task representations recruited thalamocortical interactions, where thalamic evoked responses shaped and updated cortical cognitive activity in response to changing task contexts. motivational context and error processing in impulsivity and compulsivity rebecca overmeyer, tanja endrass i technische universität dresden i adaptive behavior is based on monitoring of response outcomes, a process called performance monitoring (pm). b 4:40 p.m.-6:10 p.m. pdt b  b symposium 3.2 b fear and loathing in vr: psychophysiological fear and anxiety responses in virtual reality session chair: johannes rodrigues i julius-maximilians university of würzburg i discussant: travis baker i rutgers university newark i  i descriptors: virtual reality, anxiety, fear and defensive responses, eeg and ecg i . [extracted from the article]",,FALSE
1842,G,Poster Session 1.,,Psychophysiology,2022,"1-004 personal choice shields against noise effects on effort-related cardiovascular response johanna falk sp 1 sp , guido gendolla sp 1 sp , peter gollwitzer sp 2,3,4 sp , gabriele oettingen sp 2,5 sp  sp i 1 i sp i university of geneva, i sp i 2 i sp i new york university, i sp i 3 i sp i university of konstanz, i sp i 4 i sp i leuphana university of lueneburg, i sp i 5 i sp i university of hamburg i  i descriptors: cardiovascular response, effort, action shielding i two experiments tested whether personal choice vs. external assignment of task characteristics moderates the effect of aversive noise stimulation effects on effort-related cardiovascular response. b wednesday, september 28, 2022 b 1-001 dimensionality estimation and reduction of eeg before independent component analysis: the imp... seung suk kang, joseph bodenheimer university of missouri, kansas city i descriptors: ica, reliability, dimensionality reduction i to accurately quantify brain activities from eeg, it is essential to conduct rigorous preprocessing of eeg to remove prominent physiological and environmental noises. 2-020 effects of noninvasive brain stimulation on heart rate and heart rate variability: a systemat... maximilian schmaußer sp 1 sp , sven hoffmann sp 2 sp , markus raab sp 1,3 sp , sylvain laborde sp 1,4 sp  sp i 1 i sp i german sport university, i sp i 2 i sp i university of hagen, i sp i 3 i sp i london south bank university, i sp i 4 i sp i université de caen normandie i  i descriptors: non-invasive brain stimulation, heart rate variability, meta analysis i noninvasive brain stimulation (nibs) techniques such as transcranial magnetic stimulation (tms) and transcranial direct current stimulation (tdcs) are widely used to test whether specific cortical regions contribute to various cognitive and affective processes. [extracted from the article]",,FALSE
1844,R,Full Year 2022 Pointsbet Holdings Ltd Activities Report Call - Final,,Fair Disclosure Wire (Quarterly Earnings Reports),,,,TRUE
1845,R,ABSTRACT.,,European Journal of Clinical Investigation,2022,"covid-19 and social inequalities in a syndemic approach: social, clinical and psychological a... 56asm - 0278 pc05 | changes in mindfulness during the first lockdown from covid-19 a. lopez sp 1 sp ; a. o. caffò sp 1 sp ; l. tinella sp 1 sp ; m. n. di masi sp 2 sp ; g. spano sp 1 sp ; c. clemente sp 1 sp ; t. garcía-pereiro sp 1 sp ; e. ricciardi sp 1 sp ; a. bosco sp 1 sp  sp 1 sp i university of studiesviability (eosiny),ros production (dhe), mitochondrial function (jc-1), chromatin/dna status (diff-quik),acrosome integrity (psa-fitc) and tyrosine phosphorylation (immunofluorescence)- were determined. higher physiological doses elevated ros production and decreased mitochondrial function, motility, chromatin and acrosome integrity, tyrosine phosphorylation and viability. nonetheless, and although the values were smaller than reported around the world,(2) showed they were sufficient to synergistically decrease motility, chromatin integrity and produce an increasing trend in ros production. [extracted from the article]",,FALSE
1857,R,QUANTUM COGNITION AND HYPNOSIS: A PARADIGM SHIFT.,"DE BENEDITTIS, GIUSEPPE",Contemporary Hypnosis & Integrative Therapy,2022,"the mind--body dualistic model is not supported on either epistemological or clinical grounds. a new paradigm based upon chaotic complex systems theory and quantum mechanics is proposed to overcome the dichotomy between mind and body. further, the mind/body interface represents a chaotic system, based upon the probability principle, as seen in subatomic physics and quantum mechanics, rather than on the deterministic principle of causality. patterns of chaotic behaviour can be found in neuronal activity and applications of chaotic patterns seem to be pivotal for mind-body research and the process of trance. a controversial quantum consciousness theory has been proposed, since quantum physics applies to subatomic world and not to macrostructures, such as the brain. quantum cognition is a novel field which applies the mathematical formalism of quantum theory to explore and model cognitive phenomena, overcoming limits and shortcomings of both cartesian dualism and quantum general theory. a quantum-like paradigm opens new perspectives in conceptualizing heuristically the hypnotic experience, but it also offers a new insight of hypnotic techniques, such as, for instance, indirect ericksonian techniques, providing a far greater cognitive flexibility than classical techniques in modelling hypnotic processes and responses.",,FALSE
1864,R,"Active Inference : The Free Energy Principle in Mind, Brain, and Behavior",Thomas Parr; Giovanni Pezzulo; Karl J. Friston,,2022,"the first comprehensive treatment of active inference, an integrative perspective on brain, cognition, and behavior used across multiple disciplines. active inference is a way of understanding sentient behavior—a theory that characterizes perception, planning, and action in terms of probabilistic inference. developed by theoretical neuroscientist karl friston over years of groundbreaking research, active inference provides an integrated perspective on brain, cognition, and behavior that is increasingly used across multiple disciplines including neuroscience, psychology, and philosophy. active inference puts the action into perception. this book offers the first comprehensive treatment of active inference, covering theory, applications, and cognitive domains. active inference is a “first principles” approach to understanding behavior and the brain, framed in terms of a single imperative to minimize free energy. the book emphasizes the implications of the free energy principle for understanding how the brain works. it first introduces active inference both conceptually and formally, contextualizing it within current theories of cognition. it then provides specific examples of computational models that use active inference to explain such cognitive phenomena as perception, attention, memory, and planning.",,FALSE
