title,abstract,authors,year,keywords,orig_index,data_ret_flag,hollow_flag,grey_flag,update_flag,doi
Identifying new susceptibility genes on dopaminergic and serotonergic pathways for the framing effect in decision-making.,"The framing effect refers the tendency to be risk-averse when options are presented positively but be risk-seeking when the same options are presented negatively during decision-making. This effect has been found to be modulated by the serotonin transporter gene (SLC6A4) and the catechol-o-methyltransferase gene (COMT) polymorphisms, which are on the dopaminergic and serotonergic pathways and which are associated with affective processing. The current study aimed to identify new genetic variations of genes on dopaminergic and serotonergic pathways that may contribute to individual differences in the susceptibility to framing. Using genome-wide association data and the gene-based principal components regression method, we examined genetic variations of 26 genes on the pathways in 1317 Chinese Han participants. Consistent with previous studies, we found that the genetic variations of the SLC6A4 gene and the COMT gene were associated with the framing effect. More importantly, we demonstrated that the genetic variations of the aromatic-L-amino-acid decarboxylase (DDC) gene, which is involved in the synthesis of both dopamine and serotonin, contributed to individual differences in the susceptibility to framing. Our findings shed light on the understanding of the genetic basis of affective decision-making","Gao, X; Liu, J; Gong, P; Wang, J; Fang, W; Yan, H; Zhu, L; Zhou, X",2017,decision-making; GWAS; COMT; DDC; framing effect; SLC6A4,1223,manual,FALSE,FALSE,U,10.1093/scan/nsx062
Attributes of Conscientiousness Throughout the Animal Kingdom: An Empirical and Evolutionary Overview.,"Conscientiousness is a fundamental aspect of human personality, one that is closely linked with various favorable life outcomes. Despite its importance in humans, conscientiousness has received little attention as to how it may have evolved, or whether it provides similar fitness benefits in other animals. To date, research in animal personality has found consistent support for the presence of all major dimensions of human personality in other animals except conscientiousness. In this review, we investigate conscientiousness at the level of traits and facets (clusters of closely related traits). A systematic review of the literature retrieved 876 relevant publications describing attributes of conscientiousness in other animal species. A factor analysis of citation counts revealed 2 major dimensions representing 9 distinct facets of conscientiousness in nonhumans. These facets, together with their underlying personality traits, exhibit individual variability, are generally known to be heritable, and often offer clear fitness benefits to individuals. Other facets of conscientiousness appear to be unique to humans. Publication biases, research biases, and anthropomorphism may all play a role in the structure of the evidence we report. We conclude by suggesting fruitful areas of future research to further elucidate the presence and functional roles of conscientiousness in animals","Delgado, MM; Sulloway, FJ",2017,evolution; animal personality; behavioral syndromes; conscientiousness; Five Factor Model,1227,manual,FALSE,FALSE,U,10.1037/bul0000107
Abstracts-Posters.,,,2017,,1228,manual,TRUE,TRUE,U,10.1111/acer.13391
A Transdiagnostic Review of Negative Symptom Phenomenology and Etiology.,"In the DSM5, negative symptoms are 1 of the 5 core dimensions of psychopathology evaluated for schizophrenia. However, negative symptoms are not pathognomonic—they are also part of the diagnostic criteria for other schizophrenia-spectrum disorders, disorders that sometimes have comorbid psychosis, diagnoses not in the schizophrenia-spectrum, and the general “nonclinical” population. Although etiological models of negative symptoms have been developed for chronic schizophrenia, there has been little attention given to whether these models have transdiagnostic applicability. In the current review, we examine areas of commonality and divergence in the clinical presentation and etiology of negative symptoms across diagnostic categories. It was concluded that negative symptoms are relatively frequent across diagnostic categories, but individual disorders may differ in whether their negative symptoms are persistent/transient or primary/secondary. Evidence for separate dimensions of volitional and expressive symptoms exists, and there may be multiple mechanistic pathways to the same symptom phenomenon among DSM-5 disorders within and outside the schizophrenia-spectrum (ie, equifinality). Evidence for a novel transdiagnostic etiological model is presented based on the Research Domain Criteria (RDoC) constructs, which proposes the existence of 2 such pathways—a hedonic pathway and a cognitive pathway—that can both lead to expressive or volitional symptoms. To facilitate treatment breakthroughs, future transdiagnostic studies on negative symptoms are warranted that explore mechanisms underlying volitional and expressive pathology.","Strauss, GP; Cohen, AS",2017,alogia; anhedonia; asociality; avolition; blunted affect,1229,manual,FALSE,FALSE,U,10.1093/schbul/sbx066
Abstracts.,,,2017,,1233,manual,TRUE,TRUE,U,10.1002/mds.27087
"Effects of Alcohol, Initial Gambling Outcomes, Impulsivity, and Gambling Cognitions on Gambling Behavior Using a Video Poker Task.","Drinking and gambling frequently co-occur, and concurrent gambling and drinking may lead to greater negative consequences than either behavior alone. Building on prior research on the effects of alcohol, initial gambling outcomes, impulsivity, and gambling cognitions on gambling behaviors using a chance-based (nonstrategic) slot-machine task, the current study explored the impact of these factors on a skill-based (strategic) video poker task. We anticipated larger average bets and greater gambling persistence under alcohol relative to placebo, and expected alcohol effects to be moderated by initial gambling outcomes, impulsivity, and gambling cognitions. Participants (N = 162; 25.9% female) were randomly assigned to alcohol (target BrAC = .08g%) or placebo and were given $10 to wager on a simulated video poker task, which was programmed to produce 1 of 3 initial outcomes (win, breakeven, or lose) before beginning a progressive loss schedule. Despite evidence for validity of the video poker task and alcohol administration paradigm, primary hypotheses were not supported. Individuals who received alcohol placed smaller wagers than participants in the placebo condition, though this effect was not statistically significant, and the direction of effects was reversed in at-risk gamblers (n = 41). These findings contradict prior research and suggest that alcohol effects on gambling behavior may differ by gambling type (nonstrategic vs. strategic games). Interventions that suggest alcohol is universally disinhibiting may be at odds with young adults’ lived experience and thus be less effective than those that recognize the greater complexity of alcohol effects","Corbin, WR; Cronce, JM",2017,alcohol; impulsivity; gambling; cognitions; persistence,1236,manual,FALSE,FALSE,U,10.1037/pha0000125
Neural Outcome Processing of Peer-Influenced Risk-Taking Behavior in Late Adolescence: Preliminary Evidence for Gene x Environment Interactions.,"Adolescent brains are particularly susceptible to the rewarding properties of risky decisions in social contexts. Individual differences in genetic influences on dopamine transmission moderate neural outcome processing of risky decisions and may exert pronounced effects on adolescent risk-taking behavior (RTB) and corresponding neural outcome processing in peer contexts, a process called gene-environment interaction (G _ E). Eighty-five undergraduate students completed a behavioral risk task alone and in the presence of a confederate peer providing “risky” feedback. We tested for G _ E effects using a polygenic risk index that included 3 candidate genetic variations associated with high dopamine transmission efficiency, as well as the moderating role of family history of behavioral disinhibition. Difference waves for the P300 and FRN (i.e., feedback-related negativity) were examined as indices of neural outcome processing. A G _ E effect was observed for RTB and the P300, but not the FRN. Family history of behavioral disinhibition also interacted with peer influence to predict P300 amplitude. These data provide preliminary evidence for G _ E for peer-influenced RTB and neural outcome processing during late adolescence. Genetic influences on dopaminergic function may be particularly relevant for attentional and motivational neural systems, as indexed by the P300, which exert downstream effects on peer-influenced RTB.","Webber, TA; Soder, HE; Potts, GF; Park, JY; Bornovalova, MA",2017,P300; peer influence; risk-taking behavior; dopamine genetics; FRN,1245,manual,FALSE,FALSE,U,10.1037/pha0000105
The theory of constructed emotion: an active inference account of interoception and categorization.,"The science of emotion has been using folk psychology categories derived from philosophy to search for the brain basis of emotion. The last two decades of neuroscience research have brought us to the brink of a paradigm shift in understanding the workings of the brain, however, setting the stage to revolutionize our understanding of what emotions are and how they work. In this article, we begin with the structure and function of the brain, and from there deduce what the biological basis of emotions might be. The answer is a brain-based, computational account called the theory of constructed emotion.","Barrett, LF",2017,emotion; concepts; affect; categorization; construction; interoception; predictive coding,1253,manual,FALSE,FALSE,U,10.1093/scan/nsw154
Abstracts of the 2016 CSBBCS Annual Meeting: Resumes du congres annuel 2016 de la SCCCSC.,,,2016,,1258,manual,TRUE,TRUE,U,10.1037/cep0000111
"6th International Charcot-Marie-Tooth and Related Neuropathy Consortium (CMTR) Meeting: Venice-Mestre, Italy September 8-10, 2016.",,,2016,,1271,manual,TRUE,TRUE,U,10.1111/jns.12181
"Searching for the Best Cause: Roles of Mechanism Beliefs, Autocorrelation, and Exploitation.","When testing which of multiple causes (e.g., medicines) works best, the testing sequence has important implications for the validity of the final judgment. Trying each cause for a period of time before switching to the other is important if the causes have tolerance, sensitization, delay, or carryover (TSDC) effects. In contrast, if the outcome variable is autocorrelated and gradually fluctuates over time rather than being random across time, it can be useful to quickly alternate between the 2 causes, otherwise the causes could be confounded with a secular trend in the outcome. Five experiments tested whether individuals modify their causal testing strategies based on beliefs about TSDC effects and autocorrelation in the outcome. Participants adaptively tested each cause for longer periods of time before switching when testing causal interventions for which TSDC effects were plausible relative to cases when TSDC effects were not plausible. When the autocorrelation in the baseline trend was manipulated, participants exhibited only a small (if any) tendency toward increasing the amount of alternation; however, they adapted to the autocorrelation by focusing on changes in outcomes rather than raw outcome scores, both when making choices about which cause to test as well as when making the final judgment of which cause worked best. Understanding how people test causal relations in diverse environments is an important first step for being able to predict when individuals will successfully choose effective causes in real-world settings","Rottman, BM",2016,causal reasoning; dynamic environments; information search; win-stay lose-switch,1273,manual,FALSE,FALSE,U,10.1037/xlm0000244
Reduced Model-Based Decision-Making in Schizophrenia.,"Individuals with schizophrenia have a diminished ability to use reward history to adaptively guide behavior. However, tasks traditionally used to assess such deficits often rely on multiple cognitive and neural processes, leaving etiology unresolved. In the current study, we adopted recent computational formalisms of reinforcement learning to distinguish between model-based and model-free decision-making in hopes of specifying mechanisms associated with reinforcement-learning dysfunction in schizophrenia. Under this framework, decision-making is model-free to the extent that it relies solely on prior reward history, and model-based if it relies on prospective information such as motivational state, future consequences, and the likelihood of obtaining various outcomes. Model-based and model-free decision-making was assessed in 33 schizophrenia patients and 30 controls using a 2-stage 2-alternative forced choice task previously demonstrated to discern individual differences in reliance on the 2 forms of reinforcement-learning. We show that, compared with controls, schizophrenia patients demonstrate decreased reliance on model-based decision-making. Further, parameter estimates of model-based behavior correlate positively with IQ and working memory measures, suggesting that model-based deficits seen in schizophrenia may be partially explained by higher-order cognitive deficits. These findings demonstrate specific reinforcement-learning and decision-making deficits and thereby provide valuable insights for understanding disordered behavior in schizophrenia","Culbreth, AJ; Westbrook, A; Daw, ND; Botvinick, M; Barch, DM",2016,decision-making; computational modeling; schizophrenia; model-based learning,1274,manual,FALSE,FALSE,U,10.1037/abn0000164
Neuroscience,,,2016,,1276,manual,TRUE,TRUE,U,10.1002/ijop.12335
Poster Session.,,,2016,,1282,manual,TRUE,TRUE,U,10.1002/mds.26688
Neurocognitive Performance in Unmedicated Patients With Hoarding Disorder.,"Hoarding disorder (HD) is an often incapacitating psychiatric illness associated with a wide range of neurocognitive abnormalities. Some prior neuropsychological studies have found executive dysfunction in HD, but no clear pattern has emerged. One potential reason for discrepant results in previous studies might be the inclusion of patients on psychotropic and other medications that can affect neurocognitive performance. Therefore, we examined neurocognitive functioning in medication-free HD patients. We also added a novel investigation of implicit learning, which has been found to be abnormal in obsessive–compulsive disorder (OCD) and related disorders. Method: Twenty-six participants meeting the Diagnostic and Statistical Manual of Mental Disorders (5th ed.; DSM–5; American Psychiatric Association, 2013) diagnostic criteria for HD and 23 normal controls were administered a battery of neuropsychological tests and symptom rating scales. All participants were free of psychotropic medications for at least 6 weeks prior to the study. Results: HD participants showed no significant differences from normal controls on measures of verbal memory, attention, or executive functioning, including response inhibition, planning, organization, and decision making. However, HD participants demonstrated a trend toward less implicit learning and greater use of explicit learning strategies during perceptual categorization compared to normal controls. HD participants who used an implicit strategy performed significantly worse than controls who used an implicit strategy. Hoarding symptom severity was not associated with neurocognitive performance. Conclusions: HD patients may have a tendency to use explicit rather than implicit learning strategies for perceptual categorization but perform as well as normal controls on many other neurocognitive measures. Future studies should assess unmedicated participants and examine test strategies, not just outcomes","Sumner, JM; Noack, CG; Filoteo, JV; Maddox, WT; Saxena, S",2016,neurocognitive; compulsive; hoarding; implicit; unmedicated,1295,manual,FALSE,FALSE,U,10.1037/neu0000234
"The Assessment of Risky Decision Making: A Factor Analysis of Performance on the Iowa Gambling Task, Balloon Analogue Risk Task, and Columbia Card Task.","Researchers and clinicians frequently use behavioral measures to assess decision making. The most common task that is marketed to clinicians is the Iowa Gambling Task (IGT), thought to assess risky decision making. How does performance on the IGT relate to performance on other common measures of decision making? The present study sought to examine relationships between the IGT, the Balloon Analogue Risk Task (BART), and the Columbia Card Task (CCT). Participants were 390 undergraduate students who completed the IGT, BART, and either the “hot” or “cold” CCT. Principal components factor analysis on the IGT, BART, and CCT-cold (n = 112) indicated that the IGT measures a different component of decision making than the BART, and the CCT-cold weakly correlated with early IGT trials. Results of the exploratory factor analysis on the IGT, BART, and CCT-hot (n = 108) revealed a similar picture: the IGT and BART assessed different types of decision making, and the BART and CCT-hot were weakly correlated. A confirmatory factor analysis (n = 170) indicated that a 3-factor model without the CCT-cold (Factor 1: later IGT trials; Factor 2: BART; and Factor 3: early IGT trials) was a better fitting model than one that included the CCT-cold and early IGT trials on the same factor. Collectively, the present results suggest that the IGT, BART, and CCT all measure unique, nonoverlapping decision making processes. Further research is needed to more fully understand the neuropsychological construct of decision making","Buelow, MT; Blaine, AL",2015,Iowa Gambling Task; Balloon Analogue Risk Task; Columbia Card Task; risky decision making,1315,manual,FALSE,FALSE,U,10.1037/a0038622
Acute Cardiovascular Care 2015.,,,2015,,1324,manual,TRUE,TRUE,U,10.1177/2048872615599730
Abstracts for the 15th International Congress on Schizophrenia Research (ICOSR).,,,2015,,1329,manual,TRUE,TRUE,U,10.1093/schbul/sbv010
39th International Symposium on Ultrasonic Imaging and Tissue Characterization.,,"Linzer, M",2014,,1345,manual,TRUE,TRUE,U,10.1177/0161734614535164
Abstracts From the 35th Annual Scientific Meeting of the HBPRCA and the 39th Annual Scientific Meeting of the AAS.,,,2014,,1368,manual,TRUE,TRUE,U,10.1161/HYP.0000000000000010
Standards of Medical Care in Diabetes-2014.,,American Diabetes Association,2014,,1382,manual,TRUE,TRUE,U,10.2337/dc14-S014
WESTERN REGIONAL MEETING ABSTRACTS.,,,2014,,1384,manual,TRUE,TRUE,U,10.2310/JIM.0000000000000033
Standards of Medical Care in Diabetes-2013.,,American Diabetes Association,2013,,1424,manual,TRUE,TRUE,U,10.2337/dc13-S011
"Abstracts From Peer-Reviewed Presentations at the Australasian Cognitive Neurosciences Conference (21st meeting of the Australasian Society for Psychophysiology), December 9-12, 2012, Macquarie University, Sydney, Australia.",,,2012,,1429,manual,TRUE,TRUE,U,10.1177/1550059412444821
Seeing Is Believing: Dietary Fatty Acids Hurry Up From the Stomach to the Heart of Patients With Impaired Glucose Tolerance.,,"Iozzo, P",2012,,1435,manual,TRUE,TRUE,U,10.2337/db12-0803
Food and Health Forum meeting - nutritional approaches to cardiovascular health: workshop report.,,"Mitchell, HL; Gibbins, JM; Griffin, BA; Lovegrove, JA; Stowell, JD; Foot, E",2012,,1437,manual,TRUE,TRUE,U,10.1111/j.1467-3010.2012.01984.x
Abst D-FreeCommPosters.,,,2012,,1452,manual,TRUE,TRUE,U,10.1249/01.mss.0000417529.22755.ed
Physical activity: the latest on its contribution to energy balance and health.,,"Watson, R; Benelam, B",2012,,1461,manual,TRUE,TRUE,U,10.1111/j.1467-3010.2011.01953.x
Standards of Medical Care in Diabetes-2012.,,,2012,,1475,manual,TRUE,TRUE,U,10.2337/dc12-s011
Poster.,,,2011,,1478,manual,TRUE,TRUE,U,10.1177/155005941104200212
Abstracts.,,,2011,,1480,manual,TRUE,TRUE,U,10.1177/026988111102508S01
ADDICTION VOLUME 106 CONTENTS.,,,2011,,1484,manual,TRUE,TRUE,U,10.1111/j.1360-0443.2011.03711.x
Standards of Medical Care in Diabetes-2011.,,American Diabetes Association,2011,,1510,manual,TRUE,TRUE,U,10.2337/dc11-S011
Abstracts.,,,2010,,1514,manual,TRUE,TRUE,U,10.1177/155005941004100210
Goals of Treatment for Type 2 Diabetes: [beta]-Cell preservation for glycemic control.,,"Marchetti, P; Lupi, R; Del Guerra, S; Bugliani, M; D'Aleo, V; Occhipinti, M; Boggi, U; Marselli, L; Masini, M",2009,,1551,manual,TRUE,TRUE,U,10.2337/dc09-S306
"Impaired Tissue Perfusion: A Pathology Common to Hypertension, Obesity, and Diabetes Mellitus.",,"Levy, BI; Schiffrin, EL; Mourad, J; Agostini, D; Vicaut, E; Safar, ME; Struijker-Boudier, HA",2008,obesity; diabetes mellitus; microcirculation; risk factors; complications; hypertension,1586,manual,TRUE,TRUE,U,10.1161/CIRCULATIONAHA.107.763730
Oral Presentations.,,,2007,,1604,manual,TRUE,TRUE,U,10.1080/00048670701724647
"+Guidelines on diabetes, pre-diabetes, and cardiovascular diseases: executive summary: The Task Force on Diabetes and Cardiovascular Diseases of the European Society of Cardiology (ESC) and of the European Association for the Study of Diabetes (EASD).",,"Authors/Task Force Members; Ryden, L; Standl, E; Bartnik, M; Van den Berghe, G; Betteridge, J; de Boer, M; Cosentino, F; Jonsson, B; Laakso, M; Malmberg, K; Priori, S; Ostergren, J; Tuomilehto, J; Thrainsdottir, I; Vanhorebeek, I; Stramba-Badiale, M; Lindgren, P; Qiao, Q; Priori, SG; Blanc, J; Budaj, A; Camm, J; Dean, V; Deckers, J; Dickstein, K; Lekakis, J; McGregor, K; Metra, M; Morais, J; Osterspey, A; Tamargo, J; Zamorano, JL; Deckers, JW; Bertrand, M; Charbonnel, B; Erdmann, E; Ferrannini, E; Flyvbjerg, A; Gohlke, H; Juanatey, JRG; Graham, I; Monteiro, PF; Parhofer, K; Pyorala, K; Raz, I; Schernthaner, G; Volpe, M; Wood, D; Other Contributors; ESC Committee for Practice Guidelines (CPG); Document Reviewers",2007,,1605,manual,TRUE,TRUE,U,10.1093/eurheartj/ehl260
"+Guidelines on diabetes, pre-diabetes, and cardiovascular diseases: full text ++: The Task Force on Diabetes and Cardiovascular Diseases of the European Society of Cardiology (ESC) and of the European Association for the Study of Diabetes (EASD).",,"Authors/Task Force Members; Ryden, L; Standl, E; Bartnik, M; Berghe, GVd; Betteridge, J; de Boer, M; Cosentino, F; Jonsson, B; Laakso, M; Malmberg, K; Priori, S; Ostergren, J; Tuomilehto, J; Thrainsdottir, I; Vanhorebeek, I; Stramba-Badiale, M; Lindgren, P; Qiao, Q; Priori, SG; Blanc, J; Budaj, A; Camm, J; Dean, V; Deckers, J; Dickstein, K; Lekakis, J; McGregor, K; Metra, M; Morais, J; Osterspey, A; Tamargo, J; Zamorano, JL; Deckers, JW; Bertrand, M; Charbonnel, B; Erdmann, E; Ferrannini, E; Flyvbjerg, A; Gohlke, H; Juanatey, JRG; Graham, I; Monteiro, PF; Parhofer, K; Pyorala, K; Raz, I; Schernthaner, G; Volpe, M; Wood, D; Other Contributors; ESC Committee for Practice Guidelines (CPG); Document Reviewers",2007,,1610,manual,TRUE,TRUE,U,10.1093/eurheartj/ehl261
EMOTION EXPLAINED.,"BOOK REVIEW: Emotion has become a well-represented, and well-respected, topic of neuroscientific inquiry, as borne out by its exponential increase in citation indices (e.g. increases in publications with the word in their title by 300 in the 1980s, by 900 in the 1990s and by >1600 in the past 6 years according to Science Citation Index). The reasons for this increase lie with advances both in our theoretical understanding of emotions and in the development of new tools for exploring their neural basis—notably functional neuroimaging. These efforts have resulted in important advances also in the diagnosis and treatment of neurological and psychiatric diseases, many of which feature dysfunctional emotions as one of the most disabling components. It is thus timely to take stock of what we have learned, and to publish books that summarize the state of the field.","Ralph, A",2006,,1631,manual,FALSE,FALSE,U,10.1093/brain/awl227
Understanding Psychopathy: Toward a Psychobiological Synthesis.,BOOK REVIEW,"Nussbaum, D",2006,,1635,manual,TRUE,FALSE,U,10.1037/a0002506
News and views.,,"Holt, RIG",2004,,1682,manual,TRUE,TRUE,U,10.1111/j.1462-8902.2004.00345.x
"Neuropathy, Womens' Health, and Socioeconomic Aspects of Diabetes.",,"Bloomgarden, ZT",2002,,1710,manual,TRUE,FALSE,R,10.2337/diacare.25.6.1085
Insulin resistance and [beta]-cell dysfunction as therapeutic targets in type 2 diabetes.,,"Evans, AJ; Krentz, AJ",2001,,1714,manual,TRUE,FALSE,R,10.1046/j.1463-1326.2001.00101.x
"American Diabetes Association Annual Meeting, 1998: Insulin resistance, exercise, and obesity.",,"Bloomgarden, ZT",1999,,1726,manual,TRUE,FALSE,R,10.2337/diacare.22.3.517
The Association of Physicians of Great Britain and Ireland 1996: Ninetieth Annual General Meeting.,,,1996,,1734,manual,TRUE,FALSE,R,10.1093/qjmed/89.11.865
"Seminars in Medicine of the Beth Israel Hospital, Boston: Non-Insulin-Dependent Diabetes Mellitus -- A Genetically Programmed Failure of the Beta Cell to Compensate for Insulin Resistance.",,"Polonsky, KS; Sturis, J; Bell, GI",1996,,1737,manual,TRUE,TRUE,U,10.1056/NEJM199603213341207
Symposia Abstracts.,"in our first event-related potential study, erps and behavioral data converged in showing that both f0 and timbre support emotion processing but do so differently for different emotions: whereas f0 was most relevant for responses to happy, fearful, and sad voices, timbre was most relevant for responses to voices expressing pleasure. from fmri data, we further found that flexible control over task representations recruited thalamocortical interactions, where thalamic evoked responses shaped and updated cortical cognitive activity in response to changing task contexts. motivational context and error processing in impulsivity and compulsivity rebecca overmeyer, tanja endrass i technische universit√É¬§t dresden i adaptive behavior is based on monitoring of response outcomes, a process called performance monitoring (pm). b 4:40 p.m.-6:10 p.m. pdt b  b symposium 3.2 b fear and loathing in vr: psychophysiological fear and anxiety responses in virtual reality session chair: johannes rodrigues i julius-maximilians university of w√É¬ºrzburg i discussant: travis baker i rutgers university newark i  i descriptors: virtual reality, anxiety, fear and defensive responses, eeg and ecg i . [extracted from the article]",,2022,REWARD (Psychology); CONTROL (Psychology); EVOKED potentials (Electrophysiology); CLASSICAL conditioning; EMOTION recognition; EXPOSURE therapy; INTEROCEPTION; VOICE disorders,1841,manual,FALSE,TRUE,R,
Poster Session 1.,"1-004 personal choice shields against noise effects on effort-related cardiovascular response johanna falk sp 1 sp , guido gendolla sp 1 sp , peter gollwitzer sp 2,3,4 sp , gabriele oettingen sp 2,5 sp  sp i 1 i sp i university of geneva, i sp i 2 i sp i new york university, i sp i 3 i sp i university of konstanz, i sp i 4 i sp i leuphana university of lueneburg, i sp i 5 i sp i university of hamburg i  i descriptors: cardiovascular response, effort, action shielding i two experiments tested whether personal choice vs. external assignment of task characteristics moderates the effect of aversive noise stimulation effects on effort-related cardiovascular response. b wednesday, september 28, 2022 b 1-001 dimensionality estimation and reduction of eeg before independent component analysis: the imp... seung suk kang, joseph bodenheimer university of missouri, kansas city i descriptors: ica, reliability, dimensionality reduction i to accurately quantify brain activities from eeg, it is essential to conduct rigorous preprocessing of eeg to remove prominent physiological and environmental noises. 2-020 effects of noninvasive brain stimulation on heart rate and heart rate variability: a systemat... maximilian schmau√É¬üer sp 1 sp , sven hoffmann sp 2 sp , markus raab sp 1,3 sp , sylvain laborde sp 1,4 sp  sp i 1 i sp i german sport university, i sp i 2 i sp i university of hagen, i sp i 3 i sp i london south bank university, i sp i 4 i sp i universit√É¬© de caen normandie i  i descriptors: non-invasive brain stimulation, heart rate variability, meta analysis i noninvasive brain stimulation (nibs) techniques such as transcranial magnetic stimulation (tms) and transcranial direct current stimulation (tdcs) are widely used to test whether specific cortical regions contribute to various cognitive and affective processes. [extracted from the article]",,2022,RESPONSE inhibition; CONTROL (Psychology); CLASSICAL conditioning; INTEROCEPTION; ANXIETY disorders; IRRITABLE colon; QUALITY of life; SOCIAL science research; SPECIFIC language impairment in children,1842,manual,FALSE,TRUE,R,
Symposia Abstracts.,"using reinforcement prediction errors to filter the information content from single trial eeg james cavanagh university of new mexico event-related eeg signals reflect a mix of overlapping latent processes. these two designs have historically been distinct with one focusing on the mechanisms (embracing the question of ""can"" in the examination of the role of a process in the explanation of development, as p√É¬©rez-edgar & hastings point out) while the other focuses on observations (""do"" certain processes influence development). the present talk aims to address this challenge by examining neural processes linked to error monitoring (i.e., error-related negativity [ern]) and reward processing (i.e., reward positivity [rewp]) in response to acute (i.e., single bouts) and longer-term aerobic exercise interventions for depression. facial expressions: from low-level physical parameter to social actions session chair: florian bublatzky central institute of mental health i descriptors: i facial expression, face and person perception, emotion human facial expressions convey a large amount of emotional and social information in a fraction of a second. spn and predictive coding during reinforcement learning steven hackley sp 1 sp , sabrina bhangal sp 1 sp , shreya sharma sp 1 sp , xi ren sp 1 sp , and fernando valle-inclan sp 2 sp  sp 1 sp university of missouri, columbia, sp 2 sp university of la coruna a predictive coding framework can encompass several processes believed to underlie reinforcement learning, including motor control, reward prediction, and estimating the degree to which sensory events are a consequence of our own behavior. [extracted from the article]",,2021,RESPONSE inhibition; BEHAVIORAL medicine; COMMUNICATIVE disorders; EVOLUTIONARY psychology; MOTIVATION (Psychology); PSYCHOLOGICAL factors; PSYCHOPHYSIOLOGY,1872,manual,FALSE,TRUE,R,
Poster Abstracts.,"poster 1-047 hunger is associated with an increased neural response to food reward iulia banica sp 1 sp , dan foti sp 2 sp , sarah racine sp 1 sp , and anna weinberg sp 1 sp  sp 1 sp mcgill university, sp 2 sp purdue university i descriptors: i reward positivity (rewp), food reward, reward salience the reward positivity (rewp) is a neural index of reward sensitivity. the aud group had an enhanced rewp to point feedback in the 2-doors task ( i f i (1, 48) = 21.78, i p i < .001), as well as a main effect of larger rewp to all valanced picture feedback ( i f i (1, 48) = 29.2, i p i < .005), yet there was no difference between puppy or alcohol images ( i f i (1, 48) = 3.88, i p i = .88). poster 1-022 the reward positivity is enhanced in individuals with alcohol use disorder garima singh sp 1 sp , ethan campbell sp 1 sp , jeremy hogeveen sp 1 sp , katie witkiewitz sp 1 sp , eric claus sp 1,2 sp , and james cavanagh sp 1 sp  sp 1 sp university of new mexico, sp 2 sp the mind research network i descriptors: i reward positivity, aud, affective imagery the reward positivity (rewp) is a positive deflection in the eeg following reward receipt. poster 1-013 test-retest reliability of the late-positive potential and the reward positivity in new mothe... kimberly galvez-ortega, kaylin hill, wei siong neo, bridgette kelleher, and dan foti purdue university i descriptors: i lpp, rewp, reliability the late positive potential (lpp) and the reward positivity (rewp) have been previously linked to psychological outcomes, such as depression. [extracted from the article]",,2021,RESPONSE inhibition; MENTAL illness; BEHAVIORAL medicine; DEVELOPMENTAL psychology; NEUROSCIENCES; TIME perception,1873,manual,FALSE,TRUE,R,
Neural Modulation in Approach-Avoidance Conflicts in Externalizing Psychopathology.,"Externalizing psychopathology (EXT) is characterized by poor decision-making in situations that involve simultaneous cues for approach and avoidance behavior (i.e. approach-avoidance conflicts). Previous studies of EXT have examined these deficits primarily using tasks involving decisions between positive reward and negative punishment, suggesting that EXT is characterized by a general bias towards high salience (e.g. temporally proximal or reward) cues relative to low salience (e.g. temporally distal or loss) cues. However, in order to better characterize decision-making in approach-avoidance conflicts, the present study utilized a novel task to examine neural activation in contexts involving both positive reward and negative punishment as well as positive punishment and negative reward by manipulating physical proximity of affective cues. Neuroimaging results indicated that EXT was associated with deficits related to cue prioritization based on salience, suggesting that failure to differentiate relevant from less relevant information contributes to poor decision-making among individuals with EXT.","Lake, AJ; Finn, PR; James, TW",2021,Externalizing psychopathology; Decision making; Emotion; Motivation,1893,manual,FALSE,FALSE,U,10.1007/s11682-020-00308-4
Basal ganglia lateralization in different types of reward.,"Reward processing is a fundamental human activity. The basal ganglia are recognized for their role in reward processes; however, specific roles of the different nuclei (e.g., nucleus accumbens, caudate, putamen and globus pallidus) remain unclear. Using quantitative meta-analyses we assessed whole-brain and basal ganglia specific contributions to money, erotic, and food reward processing. We analyzed data from 190 fMRI studies which reported stereotaxic coordinates of whole-brain, within-group results from healthy adult participants. Results showed concordance in overlapping and distinct cortical and sub-cortical brain regions as a function of reward type. Common to all reward types was concordance in basal ganglia nuclei, with distinct differences in hemispheric dominance and spatial extent in response to the different reward types. Food reward processing favored the right hemisphere; erotic rewards favored the right lateral globus pallidus and left caudate body. Money rewards engaged the basal ganglia bilaterally including its most anterior part, nucleus accumbens. We conclude by proposing a model of common reward processing in the basal ganglia and separate models for money, erotic, and food rewards","Arsalidou, M; Vijayarajah, S; Sharaev, M",2020,Rewards; fMRI; Meta-analyses; Striatum; Basal ganglia,1916,manual,FALSE,FALSE,U,10.1007/s11682-019-00215-3
Poster Session Abstracts.,,,2019,POSTER presentations,1959,manual,TRUE,TRUE,R,
