
title	year	journal	issn	volume	issue	pages	authors	language	abstract	doi	keywords	orig_abstract	orig_index	T2_H2	T2_Spec	T2_H3	T2_H4	T2_H5	T2_H7	T3_H3	T3_H2	T3_Spec	T3_H4	T3_H5	T3_H6	T4_H5	T4_H4	T4_H6	T5_Spec	T5_H6	T5_H7	T2_H9	Tx_H9
Systematic parameter reviews in cognitive modeling: Towards a robust and cumulative characterization of psychological processes in the diffusion decision model.	2021	Frontiers in Psychology		11	"Akaike, H. (1973). Information theory and an extension of maximum likelihood principle, in Proceedings of the Second International Symposium on Information Theory (New York, NY), 267-281."		"Tran, N. -Han; van Maanen, Leendert; Heathcote, Andrew; Matzke, Dora"	English	"parametric cognitive models are increasingly popular tools for analyzing data obtained from psychological experiments. one of the main goals of such models is to formalize psychological theories using parameters that represent distinct psychological processes. we argue that systematic quantitative reviews of parameter estimates can make an important contribution to robust and cumulative cognitive modeling. parameter reviews can benefit model development and model assessment by providing valuable information about the expected parameter space, and can facilitate the more efficient design of experiments. importantly, parameter reviews provide crucial-if not indispensable-information for the specification of informative prior distributions in bayesian cognitive modeling. from the bayesian perspective, prior distributions are an integral part of a model, reflecting cumulative theoretical knowledge about plausible values of the model's parameters (lee, 2018). in this paper we illustrate how systematic parameter reviews can be implemented to generate informed prior distributions for the diffusion decision model (ddm; ratcliff and mckoon, 2008), the most widely used model of speeded decision making. we surveyed the published literature on empirical applications of the ddm, extracted the reported parameter estimates, and synthesized this information in the form of prior distributions. our parameter review establishes a comprehensive reference resource for plausible ddm parameter values in various experimental paradigms that can guide future applications of the model. based on the challenges we faced during the parameter review, we formulate a set of general and ddm-specific suggestions aiming to increase reproducibility and the information gained from the review process."	10.3389/fpsyg.2020.608287	Psychodynamics; *Decision Making; *Cognitive Processes; *Models; *Cognitive Science; *Statistical Sample Parameters	"Parametric cognitive models are increasingly popular tools for analyzing data obtained from psychological experiments. One of the main goals of such models is to formalize psychological theories using parameters that represent distinct psychological processes. We argue that systematic quantitative reviews of parameter estimates can make an important contribution to robust and cumulative cognitive modeling. Parameter reviews can benefit model development and model assessment by providing valuable information about the expected parameter space, and can facilitate the more efficient design of experiments. Importantly, parameter reviews provide crucial-if not indispensable-information for the specification of informative prior distributions in Bayesian cognitive modeling. From the Bayesian perspective, prior distributions are an integral part of a model, reflecting cumulative theoretical knowledge about plausible values of the model's parameters (Lee, 2018). In this paper we illustrate how systematic parameter reviews can be implemented to generate informed prior distributions for the Diffusion Decision Model (DDM; Ratcliff and McKoon, 2008), the most widely used model of speeded decision making. We surveyed the published literature on empirical applications of the DDM, extracted the reported parameter estimates, and synthesized this information in the form of prior distributions. Our parameter review establishes a comprehensive reference resource for plausible DDM parameter values in various experimental paradigms that can guide future applications of the model. Based on the challenges we faced during the parameter review, we formulate a set of general and DDM-specific suggestions aiming to increase reproducibility and the information gained from the review process. (PsycInfo Database Record (c) 2022 APA, all rights reserved)"	194	1	2	1	3	3	1	2	0	2	2	2	2	3	3	3	2	3	3	0	0
Comparison of Decision Learning Models Using the Generalization Criterion Method.	2008	Cognitive Science	3640213	32	8	1376-1402	"Ahn, Woo-Young; Busemeyer, Jerome R.; Wagenmakers, Eric-Jan; Stout, Julie C."		"it is a hallmark of a good model to make accurate a priori predictions to new conditions (busemeyer & wang, 2000). this study compared 8 decision learning models with respect to their generalizability. participants performed 2 tasks (the iowa gambling task and the soochow gambling task), and each model made a priori predictions by estimating the parameters for each participant from 1 task and using those same parameters to predict on the other task. three methods were used to evaluate the models at the individual level of analysis. the first method used a post hoc fit criterion, the second method used a generalization criterion for short-term predictions, and the third method again used a generalization criterion for long-term predictions. the results suggest that the models with the prospect utility function can make generalizable predictions to new conditions, and different learning models are needed for making short-versus long-term predictions on simple gambling tasks."	10.1080/03640210802352992	Decision making; Reinforcement learning; Psychological tests; Criterion (Theory of knowledge); Gambling & psychology; Generalizability theory; Psychological techniques; Simulation methods & models; Stochastic learning models	"It is a hallmark of a good model to make accurate a priori predictions to new conditions (Busemeyer & Wang, 2000). This study compared 8 decision learning models with respect to their generalizability. Participants performed 2 tasks (the Iowa Gambling Task and the Soochow Gambling Task), and each model made a priori predictions by estimating the parameters for each participant from 1 task and using those same parameters to predict on the other task. Three methods were used to evaluate the models at the individual level of analysis. The first method used a post hoc fit criterion, the second method used a generalization criterion for short-term predictions, and the third method again used a generalization criterion for long-term predictions. The results suggest that the models with the prospect utility function can make generalizable predictions to new conditions, and different learning models are needed for making short-versus long-term predictions on simple gambling tasks. [ABSTRACT FROM AUTHOR]"	2288	1	2	1	3	3	1	2	0	2	2	2	2	3	3	3	2	3	3	0	0
Sex and HIV serostatus differences in decision making under risk among substance-dependent individuals.	2016	Journal of Clinical and Experimental Neuropsychology	1380-3395	38	4	404-415	"Martin, Eileen; Gonzalez, Raul; Vassileva, Jasmin; Maki, Pauline M; Bechara, Antoine; Brand, Matthias"	English	"hiv+ individuals with and without substance use disorders make significantly poorer decisions when information about the probability and magnitude of wins and losses is not available. we administered the game of dice task, a measure of decision making under risk that provides this information explicitly, to 92 hiv+ and 134 hiv- substance-dependent men and women. hiv+ participants made significantly poorer decisions than hiv- participants, but this deficit appeared more prominent among hiv+ women. these data indicate that decision making under risk is impaired among hiv+ substance-dependent individuals (sdis). potential factors for the hiv+ women's relatively greater impairment are discussed."	10.1080/13803395.2015.1119806	*Decision Making; *Substance Use Disorder; *HIV; *Human Sex Differences	"HIV+ individuals with and without substance use disorders make significantly poorer decisions when information about the probability and magnitude of wins and losses is not available. We administered the Game of Dice Task, a measure of decision making under risk that provides this information explicitly, to 92 HIV+ and 134 HIV- substance-dependent men and women. HIV+ participants made significantly poorer decisions than HIV- participants, but this deficit appeared more prominent among HIV+ women. These data indicate that decision making under risk is impaired among HIV+ substance-dependent individuals (SDIs). Potential factors for the HIV+ women's relatively greater impairment are discussed. (PsycInfo Database Record (c) 2021 APA, all rights reserved)"	498	0	0	0	0	0	5	0	0	3	1	0	1	0	0	2	1	4	1	2	3
The effects of alcohol on sequential decision-making biases during gambling.	2020	Psychopharmacology	333158	237	2	395-407	"Tobias-Webb, Juliette; Limbrick-Oldfield, Eve H.; Vearncombe, Silvia; Duka, Theodora; Clark, Luke"		"gambling and alcohol use are recreational behaviours that share substantial commonalities at a phenomenological, clinical and neurobiological level. past studies have shown that alcohol can have a disinhibiting effect on gambling behaviour, in terms of bet size and persistence. this study was conducted in order to characterise how alcohol affects biases in judgment and decision-making that occur during gambling, with a focus on sequential decision-making including the gambler's fallacy. sequential biases were elicited via a roulette-based gambling task. using a standard between-groups alcohol challenge procedure, male participants played the roulette task 20 min after receiving an alcoholic (0.8 g/kg; n = 22) or placebo (n = 16) beverage. the task measured colour choice decisions (red/black) and bet size, in response to varying lengths of colour runs and winning/losing feedback streaks. across both groups, a number of established sequential biases were observed. on colour choice, there was an effect of run length in line with the gambler's fallacy, which further varied by previous feedback (wins vs losses). bet size increased with feedback streaks, especially for losing streaks. compared to placebo, the alcohol group placed higher bets following losses compared to wins. increased bet size after losses following alcohol consumption may reflect increased loss chasing that may amplify gambling harms. our results do not fit a simple pattern of enhanced gambling distortions or reward sensitivity, but help contextualise the effects of alcohol on gambling to research on decision-making biases."	10.1007/s00213-019-05376-z	Gambling; Alcohol; ALCOHOL; ALCOHOL drinking; GAMBLING; ALCOHOLIC beverages; Cognitive distortions; Loss chasing; RESEARCH bias; Roulette	"Rationale: Gambling and alcohol use are recreational behaviours that share substantial commonalities at a phenomenological, clinical and neurobiological level. Past studies have shown that alcohol can have a disinhibiting effect on gambling behaviour, in terms of bet size and persistence. Objectives: This study was conducted in order to characterise how alcohol affects biases in judgment and decision-making that occur during gambling, with a focus on sequential decision-making including the gambler's fallacy. Methods: Sequential biases were elicited via a roulette-based gambling task. Using a standard between-groups alcohol challenge procedure, male participants played the roulette task 20 min after receiving an alcoholic (0.8 g/kg; n = 22) or placebo (n = 16) beverage. The task measured colour choice decisions (red/black) and bet size, in response to varying lengths of colour runs and winning/losing feedback streaks. Results: Across both groups, a number of established sequential biases were observed. On colour choice, there was an effect of run length in line with the gambler's fallacy, which further varied by previous feedback (wins vs losses). Bet size increased with feedback streaks, especially for losing streaks. Compared to placebo, the alcohol group placed higher bets following losses compared to wins. Conclusions: Increased bet size after losses following alcohol consumption may reflect increased loss chasing that may amplify gambling harms. Our results do not fit a simple pattern of enhanced gambling distortions or reward sensitivity, but help contextualise the effects of alcohol on gambling to research on decision-making biases. [ABSTRACT FROM AUTHOR]"	1942	0	0	0	0	0	5	0	0	3	1	0	1	0	0	2	3	1	0	2	6
On the importance of avoiding shortcuts in applying cognitive models to hierarchical data.	2018	Behavior Research Methods	1554-351X	50	4	1614-1631	"Boehm, Udo; Marsman, Maarten; Matzke, Dora; Wagenmakers, Eric-Jan"	English	"psychological experiments often yield data that are hierarchically structured. a number of popular shortcut strategies in cognitive modeling do not properly accommodate this structure and can result in biased to gauge the severity of these biases, we conducted a simulation study for a two-group experiment. we first considered a modeling strategy that ignores the hierarchical data structure. in line with theoretical results, our simulations showed that bayesian and frequentist methods that rely on this strategy are biased towards the null hypothesis. secondly, we considered a modeling strategy that takes a two-step approach by first obtaining participant-level estimates from a hierarchical cognitive model and subsequently using these estimates in a follow-up statistical test. methods that rely on this strategy are biased towards the alternative hypothesis. only hierarchical models of the multilevel data lead to correct our results are particularly relevant for the use of hierarchical bayesian parameter estimates in cognitive modeling."	10.3758/s13428-018-1054-3	*Cognition; *Mathematical Modeling; *Statistical Tests; Type I Errors	"Psychological experiments often yield data that are hierarchically structured. A number of popular shortcut strategies in cognitive modeling do not properly accommodate this structure and can result in biased conclusions. To gauge the severity of these biases, we conducted a simulation study for a two-group experiment. We first considered a modeling strategy that ignores the hierarchical data structure. In line with theoretical results, our simulations showed that Bayesian and frequentist methods that rely on this strategy are biased towards the null hypothesis. Secondly, we considered a modeling strategy that takes a two-step approach by first obtaining participant-level estimates from a hierarchical cognitive model and subsequently using these estimates in a follow-up statistical test. Methods that rely on this strategy are biased towards the alternative hypothesis. Only hierarchical models of the multilevel data lead to correct conclusions. Our results are particularly relevant for the use of hierarchical Bayesian parameter estimates in cognitive modeling. (PsycInfo Database Record (c) 2021 APA, all rights reserved)"	375	1	2	1	3	3	1	2	0	2	2	2	2	3	3	3	2	3	3	0	0
An afterword: The utility of cognitive models for the field of psychopathology.	2002	Psychological Assessment	1040-3590	14	3	304-310	"Maher, Brendan A"	English	"cognitive models of psychopathology provide opportunities and challenges for both the research psychopathologist and the clinician concerned with practical applications to individuals. heterogeneity of individual pathology within diagnostic categories, heterogeneity of content within symptom categories, undue reliance on judgment-based ratings, and frequent emphasis on deficit rather than the overt behavior of the patients are some of the major issues. others include the complex interaction between cognitive and affective processes and the fact that input-output functions are often nonlinear and marked by critical threshold values for the appearance of overt pathology. an important feature of models is the discipline that they introduce into theorizing about psychopathology plus the focus on precise quantification."	10.1037/1040-3590.14.3.304	Cognition; Models; *Cognitive Processes; *Psychopathology; Symptoms; Mental Disorders	"Cognitive models of psychopathology provide opportunities and challenges for both the research psychopathologist and the clinician concerned with practical applications to individuals. Heterogeneity of individual pathology within diagnostic categories, heterogeneity of content within symptom categories, undue reliance on judgment-based ratings, and frequent emphasis on deficit rather than the overt behavior of the patients are some of the major issues. Others include the complex interaction between cognitive and affective processes and the fact that input-output functions are often nonlinear and marked by critical threshold values for the appearance of overt pathology. An important feature of models is the discipline that they introduce into theorizing about psychopathology plus the focus on precise quantification. (PsycInfo Database Record (c) 2021 APA, all rights reserved)"	930	0	0	0	1	1	0	0	0	3	1	0	5	0	0	2	1	2	2	7	3
A cognitive modeling analysis of risk in sequential choice tasks.	2020	Judgment and Decision Making		15	5	823-850	"Guan, Maime; Stokes, Ryan; Vandekerckhove, Joachim; Lee, Michael D"	English	"there are many ways to measure how people manage risk when they make decisions. a standard approach is to measure risk propensity using self-report questionnaires. an alternative approach is to use decision-making tasks that involve risk and uncertainty, and apply cognitive models of task behavior to infer parameters that measure people's risk propensity. we report the results of a within-participants experiment that used three questionnaires and four decision-making tasks. the questionnaires are the risk propensity scale, the risk taking index, and the domain specific risk taking scale. the decision-making tasks are the balloon analogue risk task, the preferential choice gambling task, the optimal stopping problem, and the bandit problem. we analyze the relationships between the risk measures and cognitive parameters using bayesian inferences about the patterns of correlation, and using a novel cognitive latent variable modeling approach. the results show that people's risk propensity is generally consistent within different conditions for each of the decision-making tasks. there is, however, little evidence that the way people manage risk generalizes across the tasks, or that it corresponds to the questionnaire measures."	10.1017/S1930297500007956	Uncertainty; *Choice Behavior; *Decision Making; *Risk Taking; *Simulation; Statistical Probability; Statistical Variables	"There are many ways to measure how people manage risk when they make decisions. A standard approach is to measure risk propensity using self-report questionnaires. An alternative approach is to use decision-making tasks that involve risk and uncertainty, and apply cognitive models of task behavior to infer parameters that measure people's risk propensity. We report the results of a within-participants experiment that used three questionnaires and four decision-making tasks. The questionnaires are the Risk Propensity Scale, the Risk Taking Index, and the Domain Specific Risk Taking Scale. The decision-making tasks are the Balloon Analogue Risk Task, the preferential choice gambling task, the optimal stopping problem, and the bandit problem. We analyze the relationships between the risk measures and cognitive parameters using Bayesian inferences about the patterns of correlation, and using a novel cognitive latent variable modeling approach. The results show that people's risk propensity is generally consistent within different conditions for each of the decision-making tasks. There is, however, little evidence that the way people manage risk generalizes across the tasks, or that it corresponds to the questionnaire measures. (PsycInfo Database Record (c) 2023 APA, all rights reserved)"	231	0	1	0	0	4	4	0	0	1	0	3	3	1	1	0	0	4	1	1	7
Recollecting cross-cultural evidences: Are decision makers really foresighted in Iowa gambling task?	2020	Frontiers in Psychology		11	"Adida, M., Jollant, F., Clark, L., Besnier, N., Guillaume, S., & Kaladjian, A., et al(2011). Trait-related decision-making impairment in the three phases of bipolar disorder. Biol. Psychiatry70357-365 https://dx.doi.org/10.1016/j.biopsych.2011.01.018 2011-16727-016."		"Lee, We-Kang; Lin, Ching-Jen; Liu, Li-Hua; Lin, Ching-Hung; Chiu, Yao-Chu"	English	"the iowa gambling task (igt) has become a remarkable experimental paradigm of dynamic emotion decision making. in recent years, research has emphasized the ""prominent deck b (pdb) phenomenon"" among normal (control group) participants, in which they favor ""bad"" deck b with its high-frequency gain structure-a finding that is incongruent with the original igt hypothesis concerning foresightedness. some studies have attributed such performance inconsistencies to cultural differences. in the present review, 86 studies featuring data on individual deck selections were drawn from an initial sample of 958 igt-related studies published from 1994 to 2017 for further investigation. the pdb phenomenon was found in 67.44% of the studies (58 of 86), and most participants were recorded as having adopted the ""gain-stay loss-randomize"" strategy to cope with uncertainty. notably, participants in our sample of studies originated from 16 areas across north america, south america, europe, oceania, and asia, and the findings suggest that the pdb phenomenon may be cross-cultural."	10.3389/fpsyg.2020.537219	*Decision Making; *Uncertainty; *Cross Cultural Differences; *Experimentation	"The Iowa Gambling Task (IGT) has become a remarkable experimental paradigm of dynamic emotion decision making. In recent years, research has emphasized the ""prominent deck B (PDB) phenomenon"" among normal (control group) participants, in which they favor ""bad"" deck B with its high-frequency gain structure-a finding that is incongruent with the original IGT hypothesis concerning foresightedness. Some studies have attributed such performance inconsistencies to cultural differences. In the present review, 86 studies featuring data on individual deck selections were drawn from an initial sample of 958 IGT-related studies published from 1994 to 2017 for further investigation. The PDB phenomenon was found in 67.44% of the studies (58 of 86), and most participants were recorded as having adopted the ""gain-stay loss-randomize"" strategy to cope with uncertainty. Notably, participants in our sample of studies originated from 16 areas across North America, South America, Europe, Oceania, and Asia, and the findings suggest that the PDB phenomenon may be cross-cultural. (PsycInfo Database Record (c) 2022 APA, all rights reserved)"	246	0	0	0	0	0	5	0	0	3	1	0	1	0	0	1	5	0	4	2	8
Using Bayesian regression to test hypotheses about relationships between parameters and covariates in cognitive models.	2018	Behavior Research Methods	1554-351X	50	3	1248-1269	"Boehm, Udo; Steingroever, Helen; Wagenmakers, Eric-Jan"	English	"an important tool in the advancement of cognitive science are quantitative models that represent different cognitive variables in terms of model parameters. to evaluate such models, their parameters are typically tested for relationships with behavioral and physiological variables that are thought to reflect specific cognitive processes. however, many models do not come equipped with the statistical framework needed to relate model parameters to covariates. instead, researchers often revert to classifying participants into groups depending on their values on the covariates, and subsequently comparing the estimated model parameters between these groups. here we develop a comprehensive solution to the covariate problem in the form of a bayesian regression framework. our framework can be easily added to existing cognitive models and allows researchers to quantify the evidential support for relationships between covariates and model parameters using bayes factors. moreover, we present a simulation study that demonstrates the superiority of the bayesian regression framework to the conventional classification-based approach."	10.3758/s13428-017-0940-4	*Learning; Reinforcement; *Mathematical Modeling; *Logistic Regression	"An important tool in the advancement of cognitive science are quantitative models that represent different cognitive variables in terms of model parameters. To evaluate such models, their parameters are typically tested for relationships with behavioral and physiological variables that are thought to reflect specific cognitive processes. However, many models do not come equipped with the statistical framework needed to relate model parameters to covariates. Instead, researchers often revert to classifying participants into groups depending on their values on the covariates, and subsequently comparing the estimated model parameters between these groups. Here we develop a comprehensive solution to the covariate problem in the form of a Bayesian regression framework. Our framework can be easily added to existing cognitive models and allows researchers to quantify the evidential support for relationships between covariates and model parameters using Bayes factors. Moreover, we present a simulation study that demonstrates the superiority of the Bayesian regression framework to the conventional classification-based approach. (PsycInfo Database Record (c) 2021 APA, all rights reserved)"	382	1	2	1	3	3	1	2	0	2	2	2	2	3	3	3	2	3	3	0	0
"W=.2, a=.8, c=.6: So what? On the meaning of parameter estimates from reinforcement-learning models."	2015	Decision	2325-9965	2	3	228-235	"Steingroever, Helen; Wetzels, Ruud; Wagenmakers, Eric-Jan"	English	"in their comment on the article by steingroever, wetzels, and wagenmakers (2014), konstantinidis, speekenbrink, stout, ahn, and shanks (2014) convincingly argue why a wide range of sophisticated model comparison methods is required to select a good model for the iowa gambling task (igt). while we agree with konstantinidis et al. on this count, the focus of steingroever et al. was not on model comparison. here we clarify our initial goal, which is to illustrate why assessment of absolute model performance is necessary to avoid premature conclusions about the psychological processes that drive performance on the igt. in addition, we elaborate on the advantages and drawbacks of both the post hoc absolute fit method and the simulation method. finally, we highlight the distinction between statistical aspects of model adequacy and psychological relevance of parameter estimates."	10.1037/dec0000034	Mathematical Modeling; *Gambling; *Decision Making; *Learning; *Reinforcement	"In their comment on the article by Steingroever, Wetzels, and Wagenmakers (2014), Konstantinidis, Speekenbrink, Stout, Ahn, and Shanks (2014) convincingly argue why a wide range of sophisticated model comparison methods is required to select a good model for the Iowa gambling task (IGT). While we agree with Konstantinidis et al. on this count, the focus of Steingroever et al. was not on model comparison. Here we clarify our initial goal, which is to illustrate why assessment of absolute model performance is necessary to avoid premature conclusions about the psychological processes that drive performance on the IGT. In addition, we elaborate on the advantages and drawbacks of both the post hoc absolute fit method and the simulation method. Finally, we highlight the distinction between statistical aspects of model adequacy and psychological relevance of parameter estimates. (PsycInfo Database Record (c) 2021 APA, all rights reserved)"	580	1	2	1	3	3	1	2	0	2	2	2	2	3	3	3	2	3	3	0	4
Performance of healthy participants on the Iowa Gambling Task.	2013	Psychological Assessment	1040-3590	25	1	180-193	"Steingroever, Helen; Wetzels, Ruud; Horstmann, Annette; Neumann, Jane; Wagenmakers, Eric-Jan"	English	"the iowa gambling task (igt; bechara, damasio, damasio, & anderson, 1994) is often used to assess decision-making deficits in clinical populations. the interpretation of the results hinges on 3 key assumptions: (a) healthy participants learn to prefer the good options over the bad options; (b) healthy participants show homogeneous choice behavior; and (c) healthy participants first explore the different options and then exploit the most profitable ones. here we test these assumptions using 2 extensive literature reviews and analysis of 8 data sets. the results show that all 3 assumptions may be invalid; that is, (a) healthy participants often prefer decks with infrequent losses; (b) healthy participants show idiosyncratic choice behavior; and (c) healthy participants do not show a systematic decrease in the number of switches across trials. our findings question the prevailing interpretation of igt data and suggest that, in future applications of the igt, key assumptions about performance of healthy participants warrant close scrutiny."	10.1037/a0029929	Exploratory Behavior; Between Groups Design; *Gambling; *Choice Behavior; *Decision Making; *Psychological Assessment; *Group Differences	"The Iowa Gambling Task (IGT; Bechara, Damasio, Damasio, & Anderson, 1994) is often used to assess decision-making deficits in clinical populations. The interpretation of the results hinges on 3 key assumptions: (a) healthy participants learn to prefer the good options over the bad options; (b) healthy participants show homogeneous choice behavior; and (c) healthy participants first explore the different options and then exploit the most profitable ones. Here we test these assumptions using 2 extensive literature reviews and analysis of 8 data sets. The results show that all 3 assumptions may be invalid; that is, (a) healthy participants often prefer decks with infrequent losses; (b) healthy participants show idiosyncratic choice behavior; and (c) healthy participants do not show a systematic decrease in the number of switches across trials. Our findings question the prevailing interpretation of IGT data and suggest that, in future applications of the IGT, key assumptions about performance of healthy participants warrant close scrutiny. (PsycInfo Database Record (c) 2021 APA, all rights reserved)"	709	0	0	0	0	0	6	0	0	3	1	0	1	0	0	1	5	0	4	6	3
Understanding ethanol's acute effects on medial prefrontal cortex neural activity using state-space approaches.	2021	Neuropharmacology	0028-3908	198		108780	"Morningstar, Mitchell; Barnett, William; Goodlett, Charles; Kuznetsov, Alexey; Lapish, Christopher"		"acute ethanol (etoh) intoxication results in several maladaptive behaviors that may be attributable, in part, to the effects of etoh on neural activity in medial prefrontal cortex (mpfc). the acute effects of etoh on mpfc function have been largely described as inhibitory. however, translating these observations on function into a mechanism capable of delineating acute etoh's effects on behavior has proven difficult. this review highlights the role of acute etoh on electrophysiological measurements of mpfc function and proposes that interpreting these changes through the lens of dynamical systems theory is critical to understand the mechanisms that mediate the effects of etoh intoxication on behavior. specifically, the present review posits that the effects of etoh on mpfc n-methyl-d-aspartate (nmda) receptors are critical for the expression of impaired behavior following etoh consumption. this hypothesis is based on the observation that recurrent activity in cortical networks is supported by nmda receptors, and, when disrupted, may lead to impairments in cognitive function. to evaluate this hypothesis, we discuss the representation of mpfc neural activity in low-dimensional, dynamic state spaces. this approach has proven useful for identifying the underlying computations necessary for the production of behavior. ultimately, we hypothesize that etoh-related alterations to nmda receptor function produces alterations that can be effectively conceptualized as impairments in attractor dynamics and provides insight into how acute etoh disrupts forms of cognition that rely on mpfc function., this article is part of the special issue on 'neurocircuitry modulating drug and alcohol abuse'., highlights:, a mechanism is proposed for the cognitive impairing effects of acute alcohol., the acute effects of alcohol on mpfc function are hypothesized to be critical., * a proof-of-concept model suggests how alcohol may alter mpfc activity from a dynamical systems perspective.,"	10.1016/j.neuropharm.2021.108780	Cognition; Prefrontal cortex; Alcohol; Attractor; Dynamics systems theory; Intoxication; Up-states	"Acute ethanol (EtOH) intoxication results in several maladaptive behaviors that may be attributable, in part, to the effects of EtOH on neural activity in medial prefrontal cortex (mPFC). The acute effects of EtOH on mPFC function have been largely described as inhibitory. However, translating these observations on function into a mechanism capable of delineating acute EtOH's effects on behavior has proven difficult. This review highlights the role of acute EtOH on electrophysiological measurements of mPFC function and proposes that interpreting these changes through the lens of dynamical systems theory is critical to understand the mechanisms that mediate the effects of EtOH intoxication on behavior. Specifically, the present review posits that the effects of EtOH on mPFC N-methyl-d-aspartate (NMDA) receptors are critical for the expression of impaired behavior following EtOH consumption. This hypothesis is based on the observation that recurrent activity in cortical networks is supported by NMDA receptors, and, when disrupted, may lead to impairments in cognitive function. To evaluate this hypothesis, we discuss the representation of mPFC neural activity in low-dimensional, dynamic state spaces. This approach has proven useful for identifying the underlying computations necessary for the production of behavior. Ultimately, we hypothesize that EtOH-related alterations to NMDA receptor function produces alterations that can be effectively conceptualized as impairments in attractor dynamics and provides insight into how acute EtOH disrupts forms of cognition that rely on mPFC function., This article is part of the special Issue on 'Neurocircuitry Modulating Drug and Alcohol Abuse'., Highlights:, * A mechanism is proposed for the cognitive impairing effects of acute alcohol., * The acute effects of alcohol on mPFC function are hypothesized to be critical., * A proof-of-concept model suggests how alcohol may alter mPFC activity from a dynamical systems perspective., (C) 2021Elsevier, Inc."	1038	0	0	0	0	4	4	0	0	3	0	3	3	1	1	0	3	1	0	1	6
Parameter Variability and Distributional Assumptions in the Diffusion Model.	2013	Psychol Rev	0033-295X	120	1	281-292	"Ratcliff, Roger"		"if the diffusion model ( ratcliff & mckoon, 2008) is to account for the relative speeds of correct responses and errors, it is necessary that the components of processing identified by the model vary across the trials of a task. in standard applications, the rate at which information is accumulated by the diffusion process is assumed to be normally distributed across trials, the starting point for the process is assumed to be uniformly distributed across trials, and the time taken by processes outside the diffusion process is assumed to be uniformly distributed. with the studies in this article, i explore the consequences of alternative assumptions about the distributions, using a wide range of parameter values. the model with the standard assumptions was fit to predictions generated with the alternative assumptions, and the results showed that the recovered parameter values matched the values used to generate the predictions with only a few exceptions. these occurred when parameter combinations were extreme and when a skewed distribution (exponential) of nondecision times was used. the conclusion is that the standard model is robust to moderate changes in the across-trial distributions of parameter values.,"	10.1037/a0030775	diffusion model; parameter distributions; response time and accuracy	"If the diffusion model ( Ratcliff & McKoon, 2008) is to account for the relative speeds of correct responses and errors, it is necessary that the components of processing identified by the model vary across the trials of a task. In standard applications, the rate at which information is accumulated by the diffusion process is assumed to be normally distributed across trials, the starting point for the process is assumed to be uniformly distributed across trials, and the time taken by processes outside the diffusion process is assumed to be uniformly distributed. With the studies in this article, I explore the consequences of alternative assumptions about the distributions, using a wide range of parameter values. The model with the standard assumptions was fit to predictions generated with the alternative assumptions, and the results showed that the recovered parameter values matched the values used to generate the predictions with only a few exceptions. These occurred when parameter combinations were extreme and when a skewed distribution (exponential) of nondecision times was used. The conclusion is that the standard model is robust to moderate changes in the across-trial distributions of parameter values., (C) 2013 by the American Psychological Association"	1425	1	2	1	3	3	1	2	0	2	2	2	2	3	3	3	2	3	3	0	0
"IGT-Open: An open-source, computerized version of the Iowa Gambling Task."	2017	Behavior Research Methods	1554-351X	49	3	972-978	"Dancy, Christopher L; Ritter, Frank E"	English	"the iowa gambling task (igt) is commonly used to understand the processes involved in decision-making. though the task was originally run without a computer, using a computerized version of the task has become typical. these computerized versions of the igt are useful, because they can make the task more standardized across studies and allow for the task to be used in environments where a physical version of the task may be difficult or impossible to use (e.g., while collecting brain imaging data). though these computerized versions of the igt have been useful for experimentation, having multiple software implementations of the task could present reliability issues. we present an open-source software version of the iowa gambling task (called igt-open) that allows for millisecond visual presentation accuracy and is freely available to be used and modified. this software has been used to collect data from human subjects and also has been used to run model-based simulations with computational process models developed to run in the act-r architecture."	10.3758/s13428-016-0759-4	*Decision Making; *Computational Modeling; *Computer Software	"The Iowa Gambling Task (IGT) is commonly used to understand the processes involved in decision-making. Though the task was originally run without a computer, using a computerized version of the task has become typical. These computerized versions of the IGT are useful, because they can make the task more standardized across studies and allow for the task to be used in environments where a physical version of the task may be difficult or impossible to use (e.g., while collecting brain imaging data). Though these computerized versions of the IGT have been useful for experimentation, having multiple software implementations of the task could present reliability issues. We present an open-source software version of the Iowa Gambling Task (called IGT-Open) that allows for millisecond visual presentation accuracy and is freely available to be used and modified. This software has been used to collect data from human subjects and also has been used to run model-based simulations with computational process models developed to run in the ACT-R architecture. (PsycInfo Database Record (c) 2021 APA, all rights reserved)"	440	0	0	0	1	1	0	0	0	3	1	0	5	0	0	1	1	0	4	7	8
