title,year,journal,issn,volume,issue,pages,authors,language,abstract,doi,keywords,orig_abstract,orig_index
Contribution of the sensorimotor beta oscillations and the cortico-basal ganglia-thalamic circuitry during value-based decision making: A simultaneous EEG-fMRI investigation.,2022,Neuroimage,1053-8119,257,"cpp, 9215515",119300,"Chen, Xing-Jie; Kwak, Youngbin",,": in decision neuroscience, the motor system has primarily been considered to be involved in executing choice actions. however, a competing perspective suggests its engagement in the evaluation of options, traditionally considered to be performed by the brain's valuation system. here, we investigate the role of the motor system in value-based decision making by determining the neural circuitries associated with the sensorimotor beta oscillations previously identified to encode decision options. in a simultaneous eeg-fmri study, participants evaluated reward and risk associated with a forthcoming action. a significant sensorimotor beta desynchronization was identified prior to and independent of response. the level of beta desynchronization showed evidence of encoding the reward levels. this beta desynchronization covaried, on a trial-by-trial level, with bold activity in the cortico-basal ganglia-thalamic circuitry. in contrast, there was only a weak covariation within the valuation network, despite significant modulation of its bold activity by reward levels. these results suggest that the way in which decision variables are processed differs in the valuation network and in the cortico-basal ganglia-thalamic circuitry. we propose that sensorimotor beta oscillations indicate incentive motivational drive towards a choice action computed from the decision variables even prior to making a response, and it arises from the cortico-basal ganglia-thalamic circuitry.,",10.1016/j.neuroimage.2022.119300,cortico-basal ganglia-thalamic circuitry; motor control; sensorimotor beta oscillations; simultaneous EEG-fMRI; value-based decision making,": In decision neuroscience, the motor system has primarily been considered to be involved in executing choice actions. However, a competing perspective suggests its engagement in the evaluation of options, traditionally considered to be performed by the brain's valuation system. Here, we investigate the role of the motor system in value-based decision making by determining the neural circuitries associated with the sensorimotor beta oscillations previously identified to encode decision options. In a simultaneous EEG-fMRI study, participants evaluated reward and risk associated with a forthcoming action. A significant sensorimotor beta desynchronization was identified prior to and independent of response. The level of beta desynchronization showed evidence of encoding the reward levels. This beta desynchronization covaried, on a trial-by-trial level, with BOLD activity in the cortico-basal ganglia-thalamic circuitry. In contrast, there was only a weak covariation within the valuation network, despite significant modulation of its BOLD activity by reward levels. These results suggest that the way in which decision variables are processed differs in the valuation network and in the cortico-basal ganglia-thalamic circuitry. We propose that sensorimotor beta oscillations indicate incentive motivational drive towards a choice action computed from the decision variables even prior to making a response, and it arises from the cortico-basal ganglia-thalamic circuitry., (C) 2022Elsevier, Inc.",1007
The research domain criteria framework: The case for anterior cingulate cortex.,2016,Neuroscience and Biobehavioral Reviews,0149-7634,71,"Aase, H., & Sagvolden, T. (2006). Infrequent, but not frequent, reinforcers produce more variable responding and deficient sustained attention in young children with attention-deficit/hyperactivity disorder (ADHD). J. Child Psychol. Psychiatry, 47, 457-471 https://dx.doi.org/10.1111/j.1469-7610.2005.01468.x https://pubmed.ncbi.nlm.nih.gov/16671929 https://dx.doi.org/10.1111/j.1469-7610.2005.01468.x 2006-05210-006.",418-443,"Holroyd, Clay B; Umemoto, Akina",English,"the united states national institute of mental health has recently promoted the research domain criteria framework, which emphasizes the study of neurocognitive constructs that cut across different disorders. these constructs are said to express dimensionally across the population, giving rise to psychopathologies only in the extreme cases where that expression is maladaptive. inspired by the rdoc framework, we propose that recent insights into the function of anterior cingulate cortex (acc), a brain area said to be responsible for selecting and motivating extended behaviors, may elucidate the etiology of a diverse array of mental disorders. we argue that acc function contributes to individual differences in personality traits related to reward sensitivity and persistence, and propose that the maladaptive expression of these traits contributes to multiple mental and neurological disorders. our discussion is organized around a computational framework that relates the reward processing and control functions of acc, as revealed by two electrophysiological phenomena called the reward positivity and frontal midline theta oscillations, to a distributed neural system underlying cognitive control.",10.1016/j.neubiorev.2016.09.021,*Brain; *Psychopathology; *Cingulate Cortex; Mental Disorders; Mice,"The United States National Institute of Mental Health has recently promoted the Research Domain Criteria framework, which emphasizes the study of neurocognitive constructs that cut across different disorders. These constructs are said to express dimensionally across the population, giving rise to psychopathologies only in the extreme cases where that expression is maladaptive. Inspired by the RDoC framework, we propose that recent insights into the function of anterior cingulate cortex (ACC), a brain area said to be responsible for selecting and motivating extended behaviors, may elucidate the etiology of a diverse array of mental disorders. We argue that ACC function contributes to individual differences in personality traits related to reward sensitivity and persistence, and propose that the maladaptive expression of these traits contributes to multiple mental and neurological disorders. Our discussion is organized around a computational framework that relates the reward processing and control functions of ACC, as revealed by two electrophysiological phenomena called the reward positivity and frontal midline theta oscillations, to a distributed neural system underlying cognitive control. (PsycInfo Database Record (c) 2021 APA, all rights reserved)",462
"Effect of heroin use on changes of brain functions as measured by functional magnetic resonance imaging, a systematic review.",2017,Journal of Addictive Diseases,1055-0887,36,2,105-116,"Fareed, Ayman; Kim, Jungjin; Ketchen, Bethany; Kwak, Woo Jin; Wang, Danzhao; Shongo-Hiango, Hilaire; Drexler, Karen",English,"in this study the authors focus on reviewing imaging studies that used resting state functional magnetic resonance imaging for individuals with a history of heroin use. this review study compiled existing research addressing the effect of heroin use on decision making by reviewing available functional neuroimaging data. systematic review of the literatures using the preferred reporting items for systematic reviews and meta-analyses checklist. eligible articles were retrieved through a computer-based medline and psycinfo search from 1960 to december 2015 using the major medical subject headings ""heroin, fmri"" (all fields). only english language was included. thirty-seven articles were initially included in the review. sixteen were excluded because they did not meet the inclusion criteria. the results of 21 articles that met all the inclusion criteria were presented. based on the 21 studies included in the current review, there is evidence that heroin use may have a direct and damaging effect on certain brain functions and that these changes may be associated with impulsive and unhealthy decision making. from the review of these studies, the authors understand that a longer duration of heroin use may be associated with more damaging effects on brain functions. the authors also understand that these brain changes could last long after abstinence, which may increase the risk of relapse to heroin use. more research is needed to create a biomarker map for patients with heroin use disorder that can be used to guide and assess response to treatment.",10.1080/10550887.2017.1280898,Decision Making; *Functional Magnetic Resonance Imaging; *Heroin Use Disorder; *Executive Function; *Brain,"In this study the authors focus on reviewing imaging studies that used resting state functional magnetic resonance imaging for individuals with a history of heroin use. This review study compiled existing research addressing the effect of heroin use on decision making by reviewing available functional neuroimaging data. Systematic review of the literatures using the Preferred Reporting Items for Systematic Reviews and Meta-Analyses checklist. Eligible articles were retrieved through a computer-based MEDLINE and PsycINFO search from 1960 to December 2015 using the major medical subject headings ""heroin, fMRI"" (all fields). Only English language was included. Thirty-seven articles were initially included in the review. Sixteen were excluded because they did not meet the inclusion criteria. The results of 21 articles that met all the inclusion criteria were presented. Based on the 21 studies included in the current review, there is evidence that heroin use may have a direct and damaging effect on certain brain functions and that these changes may be associated with impulsive and unhealthy decision making. From the review of these studies, the authors understand that a longer duration of heroin use may be associated with more damaging effects on brain functions. The authors also understand that these brain changes could last long after abstinence, which may increase the risk of relapse to heroin use. More research is needed to create a biomarker map for patients with heroin use disorder that can be used to guide and assess response to treatment. (PsycInfo Database Record (c) 2022 APA, all rights reserved)",414
Modes of cognition: Evidence from metastable brain dynamics.,2022,Neuroimage,1053-8119,260,"cpp, 9215515",119489,"Capouskova, Katerina; Kringelbach, Morten; Deco, Gustavo",,": managing cognitive load depends on adequate resource allocation by the human brain through the engagement of metastable substates, which are large-scale functional networks that change over time. we employed a novel analysis method, deep autoencoder dynamical analysis (dada), with 100 healthy adults selected from the human connectome project (hcp) data set in rest and six cognitive tasks. the deep autoencoder of dada described seven recurrent stochastic metastable substates from the functional connectome of bold phase coherence matrices. these substates were significantly differentiated in terms of their probability of appearance, time duration, and spatial attributes. we found that during different cognitive tasks, there was a higher probability of having more connected substates dominated by a high degree of connectivity in the thalamus. in addition, compared with those during tasks, resting brain dynamics have a lower level of predictability, indicating a more uniform distribution of metastability between substates, quantified by higher entropy. these novel findings provide empirical evidence for the philosophically motivated cognitive theory, suggesting on-line and off-line as two fundamentally distinct modes of cognition. on-line cognition refers to task-dependent engagement with the sensory input, while off-line cognition is a slower, environmentally detached mode engaged with decision and planning. overall, the dada framework provides a bridge between neuroscience and cognitive theory that can be further explored in the future., highlights:, deep autoencoder dynamical analysis (dada) identified metastable brain substates., more connected substates are found during tasks compared to rest., higher entropy was found for resting brain dynamics compare to task., the results support on-line and off-line as two distinct modes of cognition., * dada provides a potential bridge between neuroscience and cognitive theory.,",10.1016/j.neuroimage.2022.119489,fMRI; Functional connectivity; Entropy; Brain states; Classification; DADA; HCP data set,": Managing cognitive load depends on adequate resource allocation by the human brain through the engagement of metastable substates, which are large-scale functional networks that change over time. We employed a novel analysis method, deep autoencoder dynamical analysis (DADA), with 100 healthy adults selected from the Human Connectome Project (HCP) data set in rest and six cognitive tasks. The deep autoencoder of DADA described seven recurrent stochastic metastable substates from the functional connectome of BOLD phase coherence matrices. These substates were significantly differentiated in terms of their probability of appearance, time duration, and spatial attributes. We found that during different cognitive tasks, there was a higher probability of having more connected substates dominated by a high degree of connectivity in the thalamus. In addition, compared with those during tasks, resting brain dynamics have a lower level of predictability, indicating a more uniform distribution of metastability between substates, quantified by higher entropy. These novel findings provide empirical evidence for the philosophically motivated cognitive theory, suggesting on-line and off-line as two fundamentally distinct modes of cognition. On-line cognition refers to task-dependent engagement with the sensory input, while off-line cognition is a slower, environmentally detached mode engaged with decision and planning. Overall, the DADA framework provides a bridge between neuroscience and cognitive theory that can be further explored in the future., Highlights:, * Deep autoencoder dynamical analysis (DADA) identified metastable brain substates., * More connected substates are found during tasks compared to rest., * Higher entropy was found for resting brain dynamics compare to task., * The results support on-line and off-line as two distinct modes of cognition., * DADA provides a potential bridge between neuroscience and cognitive theory., (C) 2022Elsevier, Inc.",999
Daytime sleepiness is associated with reduced integration of temporally distant outcomes on the Iowa Gambling Task.,2016,Behavioral Sleep Medicine,1540-2002,14,2,200-211,"Olson, Elizabeth A; Weber, Mareen; Rauch, Scott L; Killgore, William D. S",English,"sleep deprivation is associated with performance decrements on some measures of executive functioning. for instance, sleep deprivation results in altered decision making on the iowa gambling task. however, it is unclear which component processes of the task may be driving the effect. in this study, iowa gambling task performance was decomposed using the expectancy-valence model. recent sleep debt and greater daytime sleepiness were associated with higher scores on the updating parameter, which reflects the extent to which recent experiences are emphasized over remote ones. findings suggest that the effects of insufficient sleep on igt performance are due to shortening of the time horizon over which decisions are integrated. these findings may have clinical implications in that individuals with sleep problems may not integrate more temporally distant information when making decisions.",10.1080/15402002.2014.974182,Gambling; Reaction Time; Performance; *Sleepiness,"Sleep deprivation is associated with performance decrements on some measures of executive functioning. For instance, sleep deprivation results in altered decision making on the Iowa Gambling Task. However, it is unclear which component processes of the task may be driving the effect. In this study, Iowa Gambling task performance was decomposed using the Expectancy-Valence model. Recent sleep debt and greater daytime sleepiness were associated with higher scores on the updating parameter, which reflects the extent to which recent experiences are emphasized over remote ones. Findings suggest that the effects of insufficient sleep on IGT performance are due to shortening of the time horizon over which decisions are integrated. These findings may have clinical implications in that individuals with sleep problems may not integrate more temporally distant information when making decisions. (PsycInfo Database Record (c) 2021 APA, all rights reserved)",497
An fMRI examination of developmental differences in the neural correlates of uncertainty and decision-making.,2006,Journal of Child Psychology and Psychiatry,0021-9630,47,10,1023-1030,"Krain, Amy L; Hefton, Sara; Pine, Daniel S; Ernst, Monique; Castellanos, F. Xavier; Klein, Rachel G; Milham, Michael P",English,"maturation of prefrontal circuits during adolescence contributes to the development of cognitive processes such as decision-making. recent theories suggest that these neural changes also play a role in the shift from generalized anxiety disorder (gad) to depression that often occurs during this developmental period. cognitive models of the development of gad highlight the role of intolerance of uncertainty (iu), which can be characterized behaviorally by impairments in decision-making. the present study examines potential developmental differences in frontal regions associated with uncertain decision-making, and tests the impact of iu on these circuits. twelve healthy adults (ages 19-36) and 12 healthy adolescents (ages 13-17) completed a decision-making task with conditions of varied uncertainty while fmri scans were acquired. they also completed measures of worry and iu, and a questionnaire about their levels of anxiety and certainty during the task. combined group analyses demonstrated significant linear effects of uncertainty on activity within anterior cingulate cortex (acc). region of interest (roi)-based analysis found a significant interaction of group and iu ratings in acc. increased iu was associated with robust linear increases in acc activity only in adolescents. an roi analysis of feedback-related processing found that adolescents demonstrated greater activation during incorrect trials relative to correct trials, while the adults showed no difference in neural activity associated with incorrect and correct feedback. this decision-making task was shown to be effective at eliciting uncertainty-related acc activity in adults and adolescents. further, iu impacts acc activity in adolescents during uncertain decision-making, providing preliminary support for a developmental model of gad.",10.1111/j.1469-7610.2006.01677.x,Magnetic Resonance Imaging; Functional Magnetic Resonance Imaging; Age Differences; *Decision Making; *Uncertainty; *Anxiety; *Brain; Cognitive Development; Adolescent Psychology; *Neural Development; Generalized Anxiety Disorder,"Background: Maturation of prefrontal circuits during adolescence contributes to the development of cognitive processes such as decision-making. Recent theories suggest that these neural changes also play a role in the shift from generalized anxiety disorder (GAD) to depression that often occurs during this developmental period. Cognitive models of the development of GAD highlight the role of intolerance of uncertainty (IU), which can be characterized behaviorally by impairments in decision-making. The present study examines potential developmental differences in frontal regions associated with uncertain decision-making, and tests the impact of IU on these circuits. Methods: Twelve healthy adults (ages 19-36) and 12 healthy adolescents (ages 13-17) completed a decision-making task with conditions of varied uncertainty while fMRI scans were acquired. They also completed measures of worry and IU, and a questionnaire about their levels of anxiety and certainty during the task. Results: Combined group analyses demonstrated significant linear effects of uncertainty on activity within anterior cingulate cortex (ACC). Region of interest (ROI)-based analysis found a significant interaction of group and IU ratings in ACC. Increased IU was associated with robust linear increases in ACC activity only in adolescents. An ROI analysis of feedback-related processing found that adolescents demonstrated greater activation during incorrect trials relative to correct trials, while the adults showed no difference in neural activity associated with incorrect and correct feedback. Conclusions: This decision-making task was shown to be effective at eliciting uncertainty-related ACC activity in adults and adolescents. Further, IU impacts ACC activity in adolescents during uncertain decision-making, providing preliminary support for a developmental model of GAD. (PsycInfo Database Record (c) 2021 APA, all rights reserved)",902
Catecholaminergic Modulation of the Avoidance of Cognitive Control.,2018,J Exp Psychol Gen,0096-3445,147,12,1763-1781,"FrobÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ¶se, MI; Swart, JC; Cook, JL; Geurts, DEM; den Ouden, HEM; Cools, R",,"The catecholamines have long been associated with cognitive control and value-based decision-making. More recently, we proposed that the catecholamines might modulate value-based decision-making about whether or not to engage in cognitive control. We test this hypothesis by assessing effects of a catecholamine challenge in a large sample of young, healthy adults (n = 100) on the avoidance of a cognitively demanding control process: task switching. Prolonging catecholamine transmission by blocking reuptake with methylphenidate altered the avoidance, but not the execution of cognitive control. Crucially, these effects could be isolated by taking into account individual differences in trait impulsivity, so that participants with higher trait impulsivity became more avoidant of cognitive control, despite faster task performance. One implication of these findings is that performance-enhancing effects of methylphenidate may be accompanied by an undermining effect on the willingness to exert cognitive control. Taken together, these findings integrate hitherto segregated literatures on catecholaminesÃÂÃÂÃÂÃÂ roles in value-based learning/choice and cognitive control",10.1037/xge0000523,cognitive control; avoidance learning; cognitive effort; methylphenidate; task switching,(C) 2018 by the American Psychological Association,1162
Decision making and aggression in forensic psychiatric inpatients.,2010,Criminal Justice and Behavior,0093-8548,37,4,365-383,"Bass, Stephanie L. S; Nussbaum, David",English,"this study provides initial empirical support for a novel neurobiological decision-making model proposed by nussbaum (2005), applied to an aggression typology (nussbaum, saint-cyr, & bell, 1997). the iowa gambling task (igt; bechara, damasio, damasio, & anderson, 1994) was analyzed for forensic inpatients using both the traditional method of scoring reflecting motivational decision making and a novel method developed by yechiam, busemeyer, stout, and bechara (2005) that provides scores for three cognitive decision-making components: attention, learning, and response-choice consistency. predatory seclusions were predicted by traditional motivational scoring of the igt but not by the cognitive scores. conversely, irritable seclusions were predicted only by the cognitive scoring system. based on these findings, the utilization of the aggression typology and the inclusion of these clinical measures could enhance and refine violent risk assessment, suggest specific treatment targets for different aggression types, and monitor responses to interventions prior to release into the community.",10.1177/0093854809360043,*Decision Making; *Aggressive Behavior; *Forensic Psychiatry; *Neurobiology; *Psychiatric Patients,"This study provides initial empirical support for a novel neurobiological decision-making model proposed by Nussbaum (2005), applied to an aggression typology (Nussbaum, Saint-Cyr, & Bell, 1997). The Iowa Gambling Task (IGT; Bechara, Damasio, Damasio, & Anderson, 1994) was analyzed for forensic inpatients using both the traditional method of scoring reflecting motivational decision making and a novel method developed by Yechiam, Busemeyer, Stout, and Bechara (2005) that provides scores for three cognitive decision-making components: attention, learning, and response-choice consistency. Predatory seclusions were predicted by traditional motivational scoring of the IGT but not by the cognitive scores. Conversely, Irritable seclusions were predicted only by the cognitive scoring system. Based on these findings, the utilization of the aggression typology and the inclusion of these clinical measures could enhance and refine violent risk assessment, suggest specific treatment targets for different aggression types, and monitor responses to interventions prior to release into the community. (PsycInfo Database Record (c) 2021 APA, all rights reserved)",822
"Decision Making in Children With ADHD Only, ADHD-Anxious/Depressed, and Control Children Using a Child Version of the Iowa Gambling Task.",2006,J Atten Disord,1087-0547,9,4,607-619,"Garon, Nancy; Moore, Chris; Waschbusch, Daniel",,"the goal of this study is to investigate decision making in children with adhd using a child version of the iowa gambling task (igt). the effect of internalizing symptoms is also of interest. method: twenty-one children with adhd (high anxiety/depression and no anxiety/depression) are compared to an age- and sex-matched control group on the gambling task. children in the adhd-alone group demonstrate impaired performance on the igt. in contrast, children in the control group and the adhd-anxiety/depression group learn to choose more from the advantageous decks over time. these findings of impaired decision making in children with adhd parallel findings of real-life decision-making problems in this population. conclusion: furthermore, the findings suggest that having a high number of internalizing symptoms leads to better performance for children with adhd on this variant of the igt.,",10.1177/1087054705284501,Iowa Gambling Task; executive function; decision making; development; depression; anxiety; ADHD,"Objective: The goal of this study is to investigate decision making in children with ADHD using a child version of the Iowa Gambling Task (IGT). The effect of internalizing symptoms is also of interest. Method: Twenty-one children with ADHD (high anxiety/depression and no anxiety/depression) are compared to an age- and sex-matched control group on the gambling task. Children in the ADHD-alone group demonstrate impaired performance on the IGT. In contrast, children in the control group and the ADHD-anxiety/depression group learn to choose more from the advantageous decks over time. Results: These findings of impaired decision making in children with ADHD parallel findings of real-life decision-making problems in this population. Conclusion: Furthermore, the findings suggest that having a high number of internalizing symptoms leads to better performance for children with ADHD on this variant of the IGT., (C) 2006 Sage Publications",1628
Computational mechanisms underlying latent value updating of unchosen actions.,2023,Sci Adv,2375-2548,9,42,eadi2704,"Ben-Artzi, Ido; Kessler, Yoav; Nicenboim, Bruno; Shahar, Nitzan",,": current studies suggest that individuals estimate the value of their choices based on observed feedback. here, we ask whether individuals also update the value of their unchosen actions, even when the associated feedback remains unknown. one hundred seventy-eight individuals completed a multi-armed bandit task, making choices to gain rewards. we found robust evidence suggesting latent value updating of unchosen actions based on the chosen action's outcome. computational modeling results suggested that this effect is mainly explained by a value updating mechanism whereby individuals integrate the outcome history for choosing an option with that of rejecting the alternative. properties of the deliberation (i.e., duration/difficulty) did not moderate the latent value updating of unchosen actions, suggesting that memory traces generated during deliberation might take a smaller role in this specific phenomenon than previously thought. we discuss the mechanisms facilitating credit assignment to unchosen actions and their implications for human decision-making.,",10.1126/sciadv.adi2704,,": Current studies suggest that individuals estimate the value of their choices based on observed feedback. Here, we ask whether individuals also update the value of their unchosen actions, even when the associated feedback remains unknown. One hundred seventy-eight individuals completed a multi-armed bandit task, making choices to gain rewards. We found robust evidence suggesting latent value updating of unchosen actions based on the chosen action's outcome. Computational modeling results suggested that this effect is mainly explained by a value updating mechanism whereby individuals integrate the outcome history for choosing an option with that of rejecting the alternative. Properties of the deliberation (i.e., duration/difficulty) did not moderate the latent value updating of unchosen actions, suggesting that memory traces generated during deliberation might take a smaller role in this specific phenomenon than previously thought. We discuss the mechanisms facilitating credit assignment to unchosen actions and their implications for human decision-making., Copyright (C) 2023 by the American Association for the Advancement of Science",953
Investigating the influence of 'losses disguised as wins' on decision making and motivation in rats.,2018,Behav Pharmacol,0955-8810,29,8,732-744,"Ferland, Jacqueline-Marie; Adams, Wendy; Murch, Spencer; Wei, Linda; Clark, Luke; Winstanley, Catharine",,"multiline slot machines encourage continued play through 'losses disguised as wins' (ldws), outcomes in which the money returned is less than that wagered. individuals with gambling problems may be susceptible to this game feature. the cognitive and neurobiological mechanisms through which ldws act are unknown. in a novel rat operant task, animals chose between a 'certain' lever, which always delivered two sugar pellets, or an 'uncertain' lever, resulting in four sugar pellets on 50% of trials. ldws were then introduced as a return of three sugar pellets on 30-40% of uncertain rewarded trials. for half the rats, winning outcomes were paired with audiovisual feedback (cues). in a second study, the basolateral amygdala (bla) was inactivated during initial presentation of ldws. while ldws shifted most rats' choice toward the certain lever, a subgroup of ldw vulnerable rats continued to choose the uncertain option, when the reward rate diminished. this profile of ldw vulnerability was reproduced after inactivating the bla. persistent choice of uncertain outcomes despite lower reward rates may reflect impaired functioning within the bla. future work using this model may provide insight into the neurobiological mechanisms contributing to the motivational properties of ldws and their contribution to problematic gambling.,",10.1097/FBP.0000000000000455,decision making; individual differences; motivation; rat; gambling; losses disguised as wins,"Multiline slot machines encourage continued play through 'losses disguised as wins' (LDWs), outcomes in which the money returned is less than that wagered. Individuals with gambling problems may be susceptible to this game feature. The cognitive and neurobiological mechanisms through which LDWs act are unknown. In a novel rat operant task, animals chose between a 'certain' lever, which always delivered two sugar pellets, or an 'uncertain' lever, resulting in four sugar pellets on 50% of trials. LDWs were then introduced as a return of three sugar pellets on 30-40% of uncertain rewarded trials. For half the rats, winning outcomes were paired with audiovisual feedback (cues). In a second study, the basolateral amygdala (BLA) was inactivated during initial presentation of LDWs. While LDWs shifted most rats' choice toward the certain lever, a subgroup of LDW vulnerable rats continued to choose the uncertain option, when the reward rate diminished. This profile of LDW vulnerability was reproduced after inactivating the BLA. Persistent choice of uncertain outcomes despite lower reward rates may reflect impaired functioning within the BLA. Future work using this model may provide insight into the neurobiological mechanisms contributing to the motivational properties of LDWs and their contribution to problematic gambling., Copyright (C) 2018 YEAR Wolters Kluwer Health, Inc. All rights reserved.",1161
The neuroscience of sexual addiction.,2018,The Routledge international handbook of sexual addiction.,978-1-138-19320-8 (Hardcover); 978-1-315-63951-2 (Digital (undefined format)),,"Alexander, B. K. (2008) The Globalization of Addiction: A Study in the Poverty of the Spirit, Oxford: Oxford University Press.",121-132,"Toates, Frederick",English,"sexual addiction is usually discussed in psychological terms. however, such discourse should at least be compatible with understanding the bases of sexual motivation and addiction in the brain. the goal of this chapter is to map the connection between (i) behaviour and subjective experience and (ii) identifiable brain processes. several arguments will be made: (1) studying the brain can yield insights into how sexual addiction arises and is maintained; (2) addiction occurs when processes that underlie conventional sexual behaviour become out of kilter. so, there is no need to propose any totally new processes underlying sexual addiction; (3) a study of the brain points to similarities between chemical and non-chemical addictions, which provides a valuable data resource and makes a general theory of addiction possible; and (4) understanding the brain is relevant to arguments about whether sex can become addictive. most research on addiction concerns drugs. this discussion first sets sexual addiction in this broader context to identify common principles.",10.4324/9781315639512-11,*Neurosciences; *Sexual Addiction; *Drug Addiction,"Sexual addiction is usually discussed in psychological terms. However, such discourse should at least be compatible with understanding the bases of sexual motivation and addiction in the brain. The goal of this chapter is to map the connection between (i) behaviour and subjective experience and (ii) identifiable brain processes. Several arguments will be made: (1) Studying the brain can yield insights into how sexual addiction arises and is maintained; (2) Addiction occurs when processes that underlie conventional sexual behaviour become out of kilter. So, there is no need to propose any totally new processes underlying sexual addiction; (3) A study of the brain points to similarities between chemical and non-chemical addictions, which provides a valuable data resource and makes a general theory of addiction possible; and (4) Understanding the brain is relevant to arguments about whether sex can become addictive. Most research on addiction concerns drugs. This discussion first sets sexual addiction in this broader context to identify common principles. (PsycInfo Database Record (c) 2023 APA, all rights reserved)",346
What can performance in the IEDS task tell us about attention shifting in clinical groups?,2021,Autism Research,1939-3792,14,6,1237-1251,"Yearsley, James M; Gaigg, Sebastian B; Bowler, Dermot M; Ring, Melanie; Haenschel, Corinna",English,"the intra-extra-dimensional set shift task (ieds) is a widely used test of learning and attention, believed to be sensitive to aspects of executive function. the task proceeds through a number of stages, and it is generally claimed that patterns of errors across stages can be used to discriminate between reduced attention switching and more general reductions in rates of learning. a number of papers have used the ieds task to argue for specific attention shifting difficulties in autism spectrum disorder (asd) and schizophrenia, however, it remains unclear how well the ieds really differentiates between reduced attention shifting and other causes of impaired performance. to address this issue, we introduce a simple computational model of performance in the ieds task, designed to separate the competing effects of attention shifting and general learning rate. we fit the model to data from asd and comparison individuals matched on age and iq, as well as to data from four previous studies which used the ieds task. model fits do not show consistent evidence for reductions in attention shifting rates in asd and schizophrenia. instead, we find performance is better explained by differences in learning rate, particularly from punishment, which we show correlates with iq. we, therefore, argue that the ieds task is not a good measure of attention shifting in clinical groups.",10.1002/aur.2484,Computational Modeling; Age Differences; *Schizophrenia; *Learning Rate; *Punishment; *Autism Spectrum Disorders; *Intelligence Quotient,"The Intra-Extra-dimensional set shift task (IEDS) is a widely used test of learning and attention, believed to be sensitive to aspects of executive function. The task proceeds through a number of stages, and it is generally claimed that patterns of errors across stages can be used to discriminate between reduced attention switching and more general reductions in rates of learning. A number of papers have used the IEDS task to argue for specific attention shifting difficulties in Autism Spectrum Disorder (ASD) and Schizophrenia, however, it remains unclear how well the IEDS really differentiates between reduced attention shifting and other causes of impaired performance. To address this issue, we introduce a simple computational model of performance in the IEDS task, designed to separate the competing effects of attention shifting and general learning rate. We fit the model to data from ASD and comparison individuals matched on age and IQ, as well as to data from four previous studies which used the IEDS task. Model fits do not show consistent evidence for reductions in attention shifting rates in ASD and Schizophrenia. Instead, we find performance is better explained by differences in learning rate, particularly from punishment, which we show correlates with IQ. We, therefore, argue that the IEDS task is not a good measure of attention shifting in clinical groups. (PsycInfo Database Record (c) 2021 APA, all rights reserved) Impact Statement The Intra-Extra-Dimensional Set shift task (IEDS) is often given to autistic individuals, who tend to make more errors relative to comparison groups. This higher error rate is taken to mean that autistic individuals struggle with attention control. Our computational model of the IEDS shows that the performance of ASD and some other clinical groups can be explained instead by differences in learning rate, rather than differences in attention control. (PsycInfo Database Record (c) 2021 APA, all rights reserved)",192
A cognitive modeling analysis of risk in sequential choice tasks.,2020,Judgment and Decision Making,,15,5,823-850,"Guan, Maime; Stokes, Ryan; Vandekerckhove, Joachim; Lee, Michael D",English,"there are many ways to measure how people manage risk when they make decisions. a standard approach is to measure risk propensity using self-report questionnaires. an alternative approach is to use decision-making tasks that involve risk and uncertainty, and apply cognitive models of task behavior to infer parameters that measure people's risk propensity. we report the results of a within-participants experiment that used three questionnaires and four decision-making tasks. the questionnaires are the risk propensity scale, the risk taking index, and the domain specific risk taking scale. the decision-making tasks are the balloon analogue risk task, the preferential choice gambling task, the optimal stopping problem, and the bandit problem. we analyze the relationships between the risk measures and cognitive parameters using bayesian inferences about the patterns of correlation, and using a novel cognitive latent variable modeling approach. the results show that people's risk propensity is generally consistent within different conditions for each of the decision-making tasks. there is, however, little evidence that the way people manage risk generalizes across the tasks, or that it corresponds to the questionnaire measures.",10.1017/S1930297500007956,Uncertainty; *Choice Behavior; *Decision Making; *Risk Taking; *Simulation; Statistical Probability; Statistical Variables,"There are many ways to measure how people manage risk when they make decisions. A standard approach is to measure risk propensity using self-report questionnaires. An alternative approach is to use decision-making tasks that involve risk and uncertainty, and apply cognitive models of task behavior to infer parameters that measure people's risk propensity. We report the results of a within-participants experiment that used three questionnaires and four decision-making tasks. The questionnaires are the Risk Propensity Scale, the Risk Taking Index, and the Domain Specific Risk Taking Scale. The decision-making tasks are the Balloon Analogue Risk Task, the preferential choice gambling task, the optimal stopping problem, and the bandit problem. We analyze the relationships between the risk measures and cognitive parameters using Bayesian inferences about the patterns of correlation, and using a novel cognitive latent variable modeling approach. The results show that people's risk propensity is generally consistent within different conditions for each of the decision-making tasks. There is, however, little evidence that the way people manage risk generalizes across the tasks, or that it corresponds to the questionnaire measures. (PsycInfo Database Record (c) 2023 APA, all rights reserved)",231
